R109_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10        133        198         10   
    2      35         17          7         22         87         10   
    3      55         45         13         98        143         10   
    4      55         20         19        123        184         10   
    5      15         30         26         20         93         10   
    6      25         30          3         76        131         10   
    7      20         50          5         61        110         10   
    8      10         43          9         75        124         10   
    9      55         60         16         74        129         10   
   10      30         60         16        107        150         10   
   11      20         65         12         42        101         10   
   12      50         35         19         38         97         10   
   13      30         25         23        131        196         10   
   14      15         10         20         32        114         10   
   15      30          5          8         35         96         10   
   16      10         20         19         52        107         10   
   17       5         30          2        124        189         10   
   18      20         40         12         69        114         10   
   19      15         60         17         52        109         10   
   20      45         65          9        105        156         10   
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      42         46          5        133        326         10          1
    1      34         15          1         22        318         10          2
    2      56         46          3         98        162         10          3
    3      55         19          4        123        214         10          4
    4      15         33         20         20        264         10          5
    5      27         28          1         76        361         10          6
    6      18         54          1         61        320         10          7
    7      10         39          1         75        322         10          8
    8      51         61          2         74        377         10          9
    9      31         60         11        107        170         10         10
   10      19         66          8         42        257         10         11
   11      53         35         11         38        295         10         12
   12      30         23          8        131        200         10         13
   13      19          5          8         32        274         10         14
   14      27          6          3         35        267         10         15
   15       9         19          9         52        293         10         16
   16       3         27          1        124        358         10         17
   17      18         39          9         69        306         10         18
   18      14         60         13         52        124         10         19
   19      47         63          4        105        182         10         20
   20      32          4          1         35        120         10         15
   21      41         18          2         22        272         10          2
   22      30         21         13        131        306         10         13
   23      14         38          3         69        233         10         18
   24       4         29          1        124        250         10         17
   25       7         46          3         75        177         10          8
   26      50         62          5         74        244         10          9
   27      39         23          4         22        212         10          2
   28      31          7          1         35        265         10         15
   29      43         63          1        105        255         10         20
   30      37         43          1        133        305         10          1
   31      44         65          2        105        327         10         20
   32      54         57          3         74        263         10          9
   33      27         61          3        107        188         10         10
   34       8         17          7         52        244         10         16
   35      31          9          1         35        165         10         15
   36      59         18          1        123        339         10          4
   37      29          5          1         35        149         10         15
   38      40         42          1        133        311         10          1
   39      55         60          3         74        231         10          9
   40      57         59          1         74        198         10          9
   41      11         45          1         75        266         10          8
   42      40         49          1        133        286         10          1
   43      16         34          2         20        287         10          5
   44      57         47          2         98        338         10          3
   45      20         63          4         42        140         10         11
   46      53         18         12        123        274         10          4
   47      13         27          1         20        252         10          5
   48      21         30          1         76        320         10          6
   49      10         19          1         52        218         10         16
   50      57         17          1        123        237         10          4
   51      46         64          1        105        219         10         20
   52      14         42          1         75        248         10          8
   53      30         24          1        131        357         10         13
   54      31         28          1         76        209         10          6
   55      12         46          1         75        331         10          8
   56       5         19          1         52        203         10         16
   57      53         59          1         74        175         10          9
   58       6         21          1         52        132         10         16
   59      54         59          1         74        160         10          9
   60      22          2          1         35        149         10         15
   61      15         24          3         20        295         10          5
   62      28         21          1        131        393         10         13
   63      11         42          1         75        175         10          8
   64      17         49          1         61        192         10          7
   65      41         64          1        105        199         10         20
   66      16         42          1         75        294         10          8
   67      53         46          6         98        170         10          3
   68      16         52          1         61        282         10          7
   69      53         43          2         98        360         10          3
   70      11          7         12         32        307         10         14
   71      15         64          4         52        327         10         19
   72      42         37          8         38        282         10         12
   73      28         59          1        107        321         10         10
   74      30         59          1        107        238         10         10
   75      43         53          1        133        372         10          1
   76      16         44          1         61        259         10          7
   77      52         19          1        123        304         10          4
   78      17         47          1         61        286         10          7
   79      43         46          1        133        392         10          1
