R110_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10        130        201         10   
    2      35         17          7         20         89         10   
    3      55         45         13        106        135         10   
    4      55         20         19         71        195         10   
    5      15         30         26         20        107         10   
    6      25         30          3         54        153         10   
    7      20         50          5         66        105         10   
    8      10         43          9         61        138         10   
    9      55         60         16         53        150         10   
   10      30         60         16        101        156         10   
   11      20         65         12         33        152         10   
   12      50         35         19         38         97         10   
   13      30         25         23         70        208         10   
   14      15         10         20         32        137         10   
   15      30          5          8         30        154         10   
   16      10         20         19         54        105         10   
   17       5         30          2         51        189         10   
   18      20         40         12         77        106         10   
   19      15         60         17         53        108         10   
   20      45         65          9        109        152         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      42         48          2        130        386         10          1
    1      32         24          1         20        164         10          2
    2      57         45          7        106        441         10          3
    3      56         22         11         71        366         10          4
    4      12         29          7         20        302         10          5
    5      24         27          2         54        261         10          6
    6      24         47          1         66        360         10          7
    7       5         38          6         61        461         10          8
    8      55         60          8         53        314         10          9
    9      28         64          6        101        300         10         10
   10      20         66         12         33        284         10         11
   11      49         31         13         38        312         10         12
   12      30         23         10         70        468         10         13
   13      10          8         15         32        296         10         14
   14      29          8          4         30        440         10         15
   15       8         17         19         54        429         10         16
   16       3         26          1         51        419         10         17
   17      21         35          6         77        279         10         18
   18      20         61          4         53        270         10         19
   19      44         61          7        109        210         10         20
   20      17         41          1         77        311         10         18
   21      16         36         11         20        276         10          5
   22      39         50          5        130        416         10          1
   23      15         48          1         66        356         10          7
   24      55         21          3         71        185         10          4
   25      52         43          2        106        314         10          3
   26      18         54          1         66        316         10          7
   27      24         43          1         77        312         10         18
   28       7         29          1         51        411         10         17
   29      31         26         13         70        363         10         13
   30      46         62          1        109        443         10         20
   31      31         60          1        101        263         10         10
   32      17         39          1         77        466         10         18
   33      11         35          1         61        388         10          8
   34      12         10          3         32        307         10         14
   35      58         60          2         53        216         10          9
   36      16         33          1         20        432         10          5
   37      28         56          2        101        276         10         10
   38      36         18          1         20        120         10          2
   39      46         55          2        130        503         10          1
   40      57         62          2         53        358         10          9
   41      34         15          1         20        238         10          2
   42      51         44          1        106        277         10          3
   43      20         37          1         77        357         10         18
   44      51         43          1        106        464         10          3
   45      24         32          1         54        189         10          6
   46      27         59          4        101        359         10         10
   47      53         19          1         71        386         10          4
   48      33         21          1         20        431         10          2
   49      46         61          1        109        332         10         20
   50      52         33          2         38        233         10         12
   51      16         63         10         53        237         10         19
   52      17         61          2         53        178         10         19
   53      52         60          2         53        309         10          9
   54      23         37          1         77        497         10         18
   55      36         18          1         20        111         10          2
   56      16         27          5         20        118         10          5
   57      47         35          4         38        414         10         12
   58      15          5          1         32        449         10         14
   59      53         48          1        106        443         10          3
   60       9         43          1         61        176         10          8
   61      51         48          1        106        437         10          3
   62      31         58          1        101        313         10         10
   63      32          4          4         30        177         10         15
   64      32         15          1         20        243         10          2
   65      36         19          1         20        132         10          2
   66      62         54          1         53        385         10          9
   67      14         11          1         32        375         10         14
   68      47         48          1        130        284         10          1
   69      29         58          1        101        231         10         10
   70      55         17          4         71        218         10          4
   71      52         58          1         53        213         10          9
   72       7         43          1         61        277         10          8
   73      22         33          1         77        287         10         18
   74      17         51          1         66        383         10          7
   75      12         63          1         53        390         10         19
   76       9         35          1         20        141         10          5
   77      20         31          1         20        227         10          5
   78      26         57          1        101        442         10         10
   79      14         53          1         66        317         10          7
