R111_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10         15        204         10   
    2      35         17          7         18        202         10   
    3      55         45         13         54        187         10   
    4      55         20         19        138        169         10   
    5      15         30         26         20        199         10   
    6      25         30          3         76        131         10   
    7      20         50          5         21        170         10   
    8      10         43          9         87        112         10   
    9      55         60         16         88        115         10   
   10      30         60         16        107        150         10   
   11      20         65         12         57         86         10   
   12      50         35         19         15        192         10   
   13      30         25         23        147        180         10   
   14      15         10         20         32        187         10   
   15      30          5          8         50         81         10   
   16      10         20         19         29        139         10   
   17       5         30          2        124        189         10   
   18      20         40         12         47        136         10   
   19      15         60         17         32        146         10   
   20      45         65          9         79        182         10   
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      40         48          2         15        376         10          1
    1      32         11          1         18        312         10          2
    2      50         40          4         54        306         10          3
    3      58         17          9        138        593         10          4
    4      17         34          9         20        467         10          5
    5      21         24          1         76        548         10          6
    6      13         48          1         21        311         10          7
    7      10         48          6         87        473         10          8
    8      53         62          4         88        467         10          9
    9      32         61         13        107        569         10         10
   10      20         66          6         57        288         10         11
   11      50         32          6         15        426         10         12
   12      33         27         11        147        532         10         13
   13      11         10          2         32        413         10         14
   14      35          4          2         50        442         10         15
   15      14         23          9         29        213         10         16
   16       0         28          1        124        273         10         17
   17      15         38          8         47        454         10         18
   18      12         62          2         32        269         10         19
   19      49         66          4         79        252         10         20
   20      30          5          1         50        492         10         15
   21      32         56          1        107        277         10         10
   22      23         30          1         76        212         10          6
   23      22         28          1         76        482         10          6
   24      16         27          5         20        358         10          5
   25       5         42          2         87        547         10          8
   26      43         64          3         79        219         10         20
   27      25         58          1        107        436         10         10
   28      13         61          1         32        439         10         19
   29      33         16          1         18        160         10          2
   30      30         60          1        107        358         10         10
   31      21         28          5         20        392         10          5
   32       8         33          1        124        468         10         17
   33      32         11          1         18        464         10          2
   34      57         52          4         88        538         10          9
   35      18         66          6         57        431         10         11
   36      11         27          2         20        475         10          5
   37      48         32          9         15        472         10         12
   38      54         16          7        138        392         10          4
   39      13         60          9         32        232         10         19
   40      22         47          1         21        507         10          7
   41      10         17          6         29        410         10         16
   42      23          8          1         50        317         10         15
   43      14         59          2         32        322         10         19
   44      19         52          1         21        478         10          7
   45      23         48          1         21        514         10          7
   46      27         26          5        147        485         10         13
   47      13         41          1         87        210         10          8
   48      33         12          1         18        410         10          2
   49       6         22          2         29        202         10         16
   50      29          5          1         50        319         10         15
   51      16         31          3         20        231         10          5
   52      16         60          1         32        359         10         19
   53      62         41          8         54        569         10          3
   54      15         49          1         21        417         10          7
   55      17         31          1         20        330         10          5
   56      27         25          6        147        534         10         13
   57      17         24          1         20        523         10          5
   58      45         52          5         15        360         10          1
   59      37         17          1         18        244         10          2
   60      53         19          1        138        334         10          4
   61      10         16          2         29        370         10         16
   62      55         19          2        138        278         10          4
   63      35         16          1         18        271         10          2
   64      19         56          1         32        331         10         19
   65      19         58          1         32        352         10         19
   66      19         44          4         47        449         10         18
   67      37         43          2         15        270         10          1
   68      29          5          1         50        301         10         15
   69      61         57          8         88        522         10          9
   70      57         42          1         54        515         10          3
   71      42         65          2         79        415         10         20
   72      35         23          1        147        337         10         13
   73      14         13          1         32        318         10         14
   74      28          3          1         50        429         10         15
   75      46         49          1         15        169         10          1
   76      52         37          4         15        225         10         12
   77      16          9         17         32        251         10         14
   78      30         18          1         18        511         10          2
   79      22          3          1         50        509         10         15
