R112_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10         73        204         10   
    2      35         17          7         18        147         10   
    3      55         45         13         76        165         10   
    4      55         20         19         73        195         10   
    5      15         30         26         20        167         10   
    6      25         30          3         49        158         10   
    7      20         50          5         36        135         10   
    8      10         43          9         50        149         10   
    9      55         60         16         47        156         10   
   10      30         60         16         85        172         10   
   11      20         65         12         33        152         10   
   12      50         35         19         15        133         10   
   13      30         25         23         79        208         10   
   14      15         10         20         32        187         10   
   15      30          5          8         30        152         10   
   16      10         20         19         29        139         10   
   17       5         30          2         60        189         10   
   18      20         40         12         47        136         10   
   19      15         60         17         32        146         10   
   20      45         65          9         79        182         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      38         41          4         73        389         10          1
    1      35         15          3         18        151         10          2
    2      55         46          6         76        245         10          3
    3      53         15          9         73        507         10          4
    4      11         29          1         20        485         10          5
    5      21         31          1         49        629         10          6
    6      20         47          3         36        303         10          7
    7      11         41          3         50        301         10          8
    8      55         53          3         47        503         10          9
    9      32         60          9         85        225         10         10
   10      25         66          1         33        411         10         11
   11      47         34          7         15        275         10         12
   12      32         27         12         79        226         10         13
   13      14         11         10         32        322         10         14
   14      27         10          1         30        341         10         15
   15      11         25          8         29        338         10         16
   16       5         27          1         60        341         10         17
   17      22         38          8         47        618         10         18
   18      10         56          6         32        628         10         19
   19      44         62          2         79        662         10         20
   20      24         43          1         47        495         10         18
   21      26          4          5         30        589         10         15
   22      33         -2          2         30        483         10         15
   23      17         68          6         33        371         10         11
   24      25         30          1         49        219         10          6
   25       5         22          1         60        557         10         17
   26      46         34          6         15        216         10         12
   27      11         43          1         50        206         10          8
   28      57         18          5         73        636         10          4
   29      23         50          1         36        505         10          7
   30      54         64          9         47        634         10          9
   31      14         58          1         32        314         10         19
   32      12         65          4         32        505         10         19
   33      29         60          2         85        451         10         10
   34      38         66          2         79        689         10         20
   35      46         44          6         73        318         10          1
   36      11         47          1         50        381         10          8
   37       6         47          1         50        299         10          8
   38      32         61          1         85        534         10         10
   39      22         38          1         47        408         10         18
   40      48         62          1         79        505         10         20
   41      18         12          8         32        263         10         14
   42      22         67          2         33        286         10         11
   43       7         16          3         29        503         10         16
   44      14         28         10         20        266         10          5
   45      53         45          5         76        656         10          3
   46      11         40          1         50        464         10          8
   47      13         12          1         32        235         10         14
   48      18         31         15         20        509         10          5
   49      55         20          2         73        264         10          4
   50      19         43          1         47        565         10         18
   51      31         29          3         79        391         10         13
   52      26         27          1         49        431         10          6
   53      27         25          1         79        646         10         13
   54      30         14          1         18        399         10          2
   55       7         44          1         50        413         10          8
   56      53         38          3         15        346         10         12
   57      50         35          2         15        588         10         12
   58      25         35          1         47        225         10         18
   59      45         29          1         15        394         10         12
   60      19         60          4         32        551         10         19
   61      30         24          7         79        377         10         13
   62      17         12          1         32        371         10         14
   63      49         19          3         73        669         10          4
   64      13         62          1         32        374         10         19
   65      20         53          1         36        398         10          7
   66      22         67          2         33        178         10         11
   67      18         65          1         33        250         10         11
   68      17         62          1         32        312         10         19
   69      54         42          1         76        442         10          3
   70       2         40          1         50        275         10          8
   71       9         24          1         29        305         10         16
   72      34         15          3         18        540         10          2
   73      54         44          1         76        615         10          3
   74      45         58          2         79        589         10         20
   75      28         60          4         85        631         10         10
   76      49         62          4         47        367         10          9
   77       8         13          6         29        571         10         16
   78      10         16          1         29        335         10         16
   79      47         65          2         79        516         10         20
