RC101_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20        145        175         10   
    2      22         75         30         50         80         10   
    3      22         85         10        109        139         10   
    4      20         80         40        141        171         10   
    5      20         85         20         41         71         10   
    6      18         75         20         95        125         10   
    7      15         75         20         79        109         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30        119        149         10   
   11       8         40         40         59         89         10   
   12       8         45         20         64         94         10   
   13       5         35         10        142        172         10   
   14       5         45         10         35         65         10   
   15       2         40         20         58         88         10   
   16       0         40         20         72        102         10   
   17       0         45         20        149        179         10   
   18      44          5         20         87        117         10   
   19      42         10         40         72        102         10   
   20      42         15         10        122        152         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      28         82          3        145        265         10          1
    1      24         68          9         50        142         10          2
    2      21         84          1        109        158         10          3
    3      18         81         20        141        278         10          4
    4      17         84          4         41         86         10          5
    5      19         75          4         95        136         10          6
    6      12         74         20         79        236         10          7
    7      10         80          7         91        220         10          8
    8      10         33         14         91        208         10          9
    9      11         44         16        119        222         10         10
   10       5         36          7         59        205         10         11
   11       5         47         14         64        151         10         12
   12       1         32          1        142        227         10         13
   13       7         43          1         35         80         10         14
   14       6         43          2         58        138         10         15
   15      -1         45          8         72        168         10         16
   16       2         43          8        149        237         10         17
   17      42          4          4         87        188         10         18
   18      43          7         35         72        188         10         19
   19      42         14         10        122        268         10         20
   20       0         41          2         58        206         10         15
   21       5         38         14        119        264         10         10
   22       2         41          4         72        209         10         16
   23      27         84          5        109        183         10          3
   24      21         82          3        109        234         10          3
   25       9         36          1         91        223         10          9
   26      14         75          1         91        149         10          8
   27       9         45          2         64        187         10         12
   28      20         74         16         50        165         10          2
   29      19         72          4         95        222         10          6
   30      14         80          8        141        292         10          4
   31       0         41          4         35        144         10         14
   32       0         48          4        149        302         10         17
   33      10         49          1         64        139         10         12
   34      47          5          4         87        249         10         18
   35      43          8          1         72        156         10         19
   36      13         35          1         91        222         10          9
   37      18         39          3         91        280         10          9
   38      46         10          3         72        135         10         19
   39       8         44          8         59        116         10         11
   40       8         40         13         59        132         10         11
   41      12         76          1         95        158         10          6
   42      45          5         10         87        172         10         18
   43       3         36          6         58        118         10         15
   44       1         42          2         58        185         10         15
   45       3         45          1         64        208         10         12
   46      19         79          1         50        195         10          2
   47      19         84          3        141        253         10          4
   48      -2         40          8         58        132         10         15
   49      38          7          1         72        168         10         19
   50      13         77          1         91        169         10          8
   51       3         42          5         35        162         10         14
   52      15         77          7         95        200         10          6
   53      21         76          2         50        196         10          2
   54       0         40          6         72        210         10         16
   55       8         31          1        142        201         10         13
   56      16         82          1        109        270         10          3
   57      20         80          2         95        180         10          6
   58       5         37         12         59        175         10         11
   59      19         85         10         41        189         10          5
   60       0         35          6        142        207         10         13
   61       8         30          1         91        198         10          9
   62      18         75          6        141        213         10          4
   63      20         77          1         95        181         10          6
   64       4         30          2        142        249         10         13
   65       1         49          1         64        219         10         12
   66      21         83          2        141        247         10          4
   67      23         76          1         50        177         10          2
   68      22         86          4         41         95         10          5
   69       3         43          4        149        251         10         17
   70       0         48          4        149        303         10         17
   71       0         35          2         72        234         10         16
   72      43          6          2         87        154         10         18
   73      20         86         17        145        282         10          1
   74      23         82          2         41        143         10          5
   75      17         83          1        141        277         10          4
   76      14         41          1         64        218         10         12
   77      12         79          1         91        189         10          8
   78      25         76          1         50        161         10          2
   79      15         71          1         95        185         10          6
