RC102_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20          0        191         10   
    2      22         75         30          0        199         10   
    3      22         85         10          0        190         10   
    4      20         80         40        141        171         10   
    5      20         85         20          0        189         10   
    6      18         75         20         95        125         10   
    7      15         75         20          0        194         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30        119        149         10   
   11       8         40         40         59         89         10   
   12       8         45         20          0        197         10   
   13       5         35         10        142        172         10   
   14       5         45         10         35         65         10   
   15       2         40         20         58         88         10   
   16       0         40         20         72        102         10   
   17       0         45         20        149        179         10   
   18      44          5         20         87        117         10   
   19      42         10         40         72        102         10   
   20      42         15         10        122        152         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      25         89         15          0        191         10          1
    1      22         74         10          0        199         10          2
    2      17         82          3          0        190         10          3
    3      18         82         37        141        287         10          4
    4      17         87         11          0        189         10          5
    5      20         70          5         95        152         10          6
    6      11         71         15          0        194         10          7
    7       7         82          8         91        198         10          8
    8      13         33         13         91        245         10          9
    9      10         35         12        119        264         10         10
   10       5         43         25         59        113         10         11
   11       9         43          6          0        197         10         12
   12       7         32         10        142        214         10         13
   13       3         46          6         35        151         10         14
   14       0         45          1         58        176         10         15
   15      -4         38         15         72        174         10         16
   16       2         48         17        149        241         10         17
   17      45          4         13         87        241         10         18
   18      37         10          7         72        210         10         19
   19      45         14          6        122        255         10         20
   20       8         29          2         91        226         10          9
   21       4         46          1         35        107         10         14
   22       0         42          7         58        159         10         15
   23       0         43          2         58        183         10         15
   24      14         79         10         95        235         10          6
   25      13         38          2         91        248         10          9
   26      17         90          5          0        189         10          5
   27      27         76          5          0        199         10          2
   28      14         82          1         91        183         10          8
   29       2         45          1         35        115         10         14
   30      -1         46          1        149        230         10         17
   31      29         85          1          0        191         10          1
   32      41          0          1         87        172         10         18
   33      27         81          1          0        191         10          1
   34      43         16          1        122        240         10         20
   35      10         32          7        119        195         10         10
   36       3         48          5          0        197         10         12
   37      16         72          4         95        252         10          6
   38       0         41          3         72        109         10         16
   39      22         83          3          0        190         10          3
   40       8         41          6         59        126         10         11
   41      21         73          4          0        194         10          7
   42      23         83          1          0        191         10          1
   43      12         35          1         91        235         10          9
   44      12         74          1          0        194         10          7
   45      10         37          1         91        222         10          9
   46      34          9         33         72        209         10         19
   47       3         48          2        149        303         10         17
   48      11         48          3          0        197         10         12
   49      41         14          3        122        196         10         20
   50      19         81          1          0        191         10          1
   51       3         39          1         72        212         10         16
   52       3         36          5         58        146         10         15
   53       8         38          6        119        171         10         10
   54      21         88          1          0        190         10          3
   55       6         46          1         35        155         10         14
   56      17         80          1        141        191         10          4
   57       8         35          5         58        224         10         15
   58      12         31          1         91        209         10          9
   59      39          3          2         87        213         10         18
   60      22         73         15          0        199         10          2
   61       6         50          6          0        197         10         12
   62      12         41          5        119        187         10         10
   63      -4         45          1         35        165         10         14
   64      19         83          1          0        190         10          3
   65      12         41          8         59        224         10         11
   66      20         79          1        141        222         10          4
   67      24         84          1          0        190         10          3
   68       0         43          1         72        155         10         16
   69      10         34          1         59        172         10         11
   70      17         80          1         95        185         10          6
   71      18         81          1        141        254         10          4
   72      47          8          1         87        146         10         18
   73      18         83          1          0        190         10          3
   74      47          1          1         87        175         10         18
   75      46          7          1         87        203         10         18
   76      18         79          1         91        238         10          8
   77      19         84          1          0        191         10          1
   78      45          1          1         87        226         10         18
   79      16         86          4          0        189         10          5
