RC103_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20          0        191         10   
    2      22         75         30          0        199         10   
    3      22         85         10          0        190         10   
    4      20         80         40        141        171         10   
    5      20         85         20          0        189         10   
    6      18         75         20         95        125         10   
    7      15         75         20          0        194         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30        119        149         10   
   11       8         40         40         59         89         10   
   12       8         45         20          0        197         10   
   13       5         35         10        142        172         10   
   14       5         45         10          0        194         10   
   15       2         40         20         58         88         10   
   16       0         40         20          0        188         10   
   17       0         45         20        149        179         10   
   18      44          5         20          0        184         10   
   19      42         10         40          0        189         10   
   20      42         15         10          0        194         10   
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      20         88         13          0        191         10          1
    1      26         69         13          0        199         10          2
    2      23         87          5          0        190         10          3
    3      21         80          2        141        281         10          4
    4      17         87          8          0        189         10          5
    5      14         71         10         95        268         10          6
    6      13         73         10          0        194         10          7
    7      15         79          3         91        230         10          8
    8      14         33         16         91        156         10          9
    9       6         35         26        119        274         10         10
   10      17         42         40         59        167         10         11
   11       1         43         18          0        197         10         12
   12       4         34          7        142        213         10         13
   13       3         44          2          0        194         10         14
   14       2         42         13         58        205         10         15
   15      -3         40         16          0        188         10         16
   16       3         48          7        149        254         10         17
   17      45         -2          4          0        184         10         18
   18      42          8          1          0        189         10         19
   19      41         17          5          0        194         10         20
   20       1         41         11        149        258         10         17
   21      45          9         33          0        189         10         19
   22       1         46          2          0        194         10         14
   23      18         84          3          0        189         10          5
   24       6         39          2        119        248         10         10
   25      14         78          1         91        135         10          8
   26      23         85          7          0        191         10          1
   27      22         83          1          0        189         10          5
   28      44          4          1          0        184         10         18
   29      19         85          2          0        190         10          3
   30      41          6          5          0        184         10         18
   31      51          7          2          0        184         10         18
   32      -5         44          2         58        202         10         15
   33      19         82          2          0        189         10          5
   34       7         48          1          0        194         10         14
   35      -2         36          3         58        162         10         15
   36      42         15          2          0        194         10         20
   37      43         21          1          0        194         10         20
   38      16         75          7         95        188         10          6
   39      43          1          7          0        184         10         18
   40      18         73          3          0        194         10          7
   41      24         84          1          0        190         10          3
   42      18         68          4          0        194         10          7
   43      16         82          1         91        188         10          8
   44      -3         46          1        149        210         10         17
   45      19         87          1          0        190         10          3
   46      14         68          2         95        266         10          6
   47      23         74          4          0        199         10          2
   48       9         38          1        119        198         10         10
   49       1         33          1        142        197         10         13
   50      22         83          4          0        189         10          5
   51      19         86          1          0        189         10          5
   52      11         83          5         91        203         10          8
   53       5         35          1        142        243         10         13
   54      38          9          3          0        189         10         19
   55       7         42          2          0        194         10         14
   56       4         44          2          0        197         10         12
   57      15         78          1          0        194         10          7
   58       7         38          1        142        271         10         13
   59       0         43          1        149        274         10         17
   60      21         75         36        141        268         10          4
   61      13         36          4         91        212         10          9
   62       7         33          2         58        156         10         15
   63      18         79          1        141        249         10          4
   64      39         10          3          0        189         10         19
   65       3         48          1          0        194         10         14
   66      11         37          1        119        228         10         10
   67      18         86          1          0        189         10          5
   68      45         15          1          0        194         10         20
   69       6         43          1          0        194         10         14
   70      12         75          1          0        194         10          7
   71       9         47          1          0        194         10         14
   72      46          1          1          0        184         10         18
   73      17         77          1         95        181         10          6
   74      23         75          1        141        210         10          4
   75      22         75         13          0        199         10          2
   76       5         43          4          0        188         10         16
   77      14         75          1          0        194         10          7
   78      23         86          1          0        190         10          3
   79      43         17          1          0        194         10         20
