RC104_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20          0        191         10   
    2      22         75         30          0        199         10   
    3      22         85         10          0        190         10   
    4      20         80         40        141        171         10   
    5      20         85         20          0        189         10   
    6      18         75         20          0        196         10   
    7      15         75         20          0        194         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30          0        198         10   
   11       8         40         40         59         89         10   
   12       8         45         20          0        197         10   
   13       5         35         10        142        172         10   
   14       5         45         10          0        194         10   
   15       2         40         20         58         88         10   
   16       0         40         20          0        188         10   
   17       0         45         20          0        189         10   
   18      44          5         20          0        184         10   
   19      42         10         40          0        189         10   
   20      42         15         10          0        194         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      29         87         11          0        191         10          1
    1      25         74         18          0        199         10          2
    2      25         92         10          0        190         10          3
    3      22         84          8        141        221         10          4
    4      22         88          3          0        189         10          5
    5      14         73          3          0        196         10          6
    6      13         73         12          0        194         10          7
    7      18         88          2         91        230         10          8
    8       8         36         11         91        160         10          9
    9       6         36         21          0        198         10         10
   10       7         44         22         59        213         10         11
   11       7         43          3          0        197         10         12
   12       4         34          3        142        235         10         13
   13       4         49          4          0        194         10         14
   14      -5         42          8         58        137         10         15
   15      -3         37         14          0        188         10         16
   16       0         47         11          0        189         10         17
   17      43          7         16          0        184         10         18
   18      43         12         32          0        189         10         19
   19      44         17          1          0        194         10         20
   20       7         37          1          0        198         10         10
   21       4         33          1        142        201         10         13
   22      44         13          1          0        189         10         19
   23       9         47         10          0        197         10         12
   24      13         32          4         91        184         10          9
   25      18         80          3         91        193         10          8
   26      19         86         12          0        189         10          5
   27      17         73          2          0        194         10          7
   28       6         35          8          0        198         10         10
   29      15         87          2         91        177         10          8
   30      43         11          1          0        189         10         19
   31      43         17          4          0        194         10         20
   32       0         41          2          0        188         10         16
   33       0         32          2        142        293         10         13
   34      20         74          2          0        196         10          6
   35       0         42          5          0        194         10         14
   36      43          2          6          0        189         10         19
   37      25         82          2          0        191         10          1
   38      41         11          2          0        194         10         20
   39      40          2          1          0        184         10         18
   40      16         78          2          0        196         10          6
   41       0         45          5          0        189         10         17
   42       3         34          3         91        248         10          9
   43       2         40         18         59        195         10         11
   44       0         34          5         58        158         10         15
   45      15         69          6          0        196         10          6
   46      -1         42          2          0        197         10         12
   47      -3         42          1          0        188         10         16
   48       6         31          4        142        199         10         13
   49      44          0          1          0        184         10         18
   50      -4         43          3          0        188         10         16
   51       2         37          2         58        141         10         15
   52       3         52          1          0        194         10         14
   53       5         35          2         91        213         10          9
   54      21         79          1          0        191         10          1
   55      28         84          1          0        191         10          1
   56       8         83          2         91        215         10          8
   57      19         84          3          0        189         10          5
   58      45          7          1          0        184         10         18
   59      43         18          1          0        194         10         20
   60      26         83          4          0        191         10          1
   61       1         41          5          0        197         10         12
   62       3         45          1          0        189         10         17
   63      22         86          1          0        191         10          1
   64      48          9          1          0        184         10         18
   65      44         14          1          0        194         10         20
   66      19         82          1          0        189         10          5
   67      19         76          5          0        196         10          6
   68      13         75          5          0        194         10          7
   69      40         18          1          0        194         10         20
   70       0         44          2          0        189         10         17
   71      26         74         12          0        199         10          2
   72      21         73          1          0        196         10          6
   73      13         78          1         91        219         10          8
   74      18         80         32        141        275         10          4
   75      16         75          1          0        196         10          6
   76       0         48          1          0        189         10         17
   77      13         79          1          0        194         10          7
   78      21         84          1          0        189         10          5
   79       0         35          5         58        145         10         15
