RC105_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20         71        191         10   
    2      22         75         30         30        150         10   
    3      22         85         10         64        184         10   
    4      20         80         40        151        161         10   
    5      20         85         20         40        160         10   
    6      18         75         20         96        123         10   
    7      15         75         20         35        155         10   
    8      15         80         10        101        111         10   
    9      10         35         20        101        111         10   
   10      10         40         30        123        144         10   
   11       8         40         40         69         79         10   
   12       8         45         20         32        152         10   
   13       5         35         10        152        162         10   
   14       5         45         10         35        117         10   
   15       2         40         20         68         78         10   
   16       0         40         20         59        114         10   
   17       0         45         20        147        180         10   
   18      44          5         20         79        124         10   
   19      42         10         40         58        115         10   
   20      42         15         10        111        162         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      28         89         19         71        348         10          1
    1      20         71          7         30        114         10          2
    2      24         83          4         64        192         10          3
    3      22         78         34        151        368         10          4
    4      19         86         20         40        107         10          5
    5      21         77         18         96        194         10          6
    6      16         78          4         35        313         10          7
    7      17         79          2        101        242         10          8
    8       5         40          7        101        267         10          9
    9       9         39         26        123        205         10         10
   10       7         42         35         69        174         10         11
   11      12         47         13         32        273         10         12
   12       4         36          2        152        235         10         13
   13       2         40          5         35        130         10         14
   14       4         41         16         68        329         10         15
   15       0         40         13         59        238         10         16
   16       3         44         16        147        375         10         17
   17      41          7          8         79        345         10         18
   18      41          8          6         58        284         10         19
   19      40         14          2        111        313         10         20
   20      42         11          5        111        269         10         20
   21      -1         47          1        147        409         10         17
   22       2         45          2        147        403         10         17
   23       4         39          2         59        264         10         16
   24       7         36          2        123        292         10         10
   25       8         40          1         35        330         10         14
   26       2         37          1         35        264         10         14
   27       5         44          1         69        376         10         11
   28      16         78          4         30        150         10          2
   29      13         74          7         35        108         10          7
   30       3         40          1         69        308         10         11
   31       6         47          4         32        169         10         12
   32       2         42          1         59        258         10         16
   33       0         34          1         59        313         10         16
   34      24         85          1         71        247         10          1
   35       9         81          9         35        298         10          7
   36      47          5          5         79        212         10         18
   37      39          2          4         79        362         10         18
   38      22         75          4         30        230         10          2
   39      17         77          3        151        386         10          4
   40      13         79          8        101        356         10          8
   41       0         42          1         59        163         10         16
   42      10         39          1         68        194         10         15
   43      10         41          1         32        317         10         12
   44      10         31          9        101        292         10          9
   45       0         33          1         59        370         10         16
   46       5         44          1         35        249         10         14
   47      11         37          1         69        308         10         11
   48       2         44          1         32        306         10         12
   49       4         35          2        152        312         10         13
   50      -1         48          1         35        186         10         14
   51       9         43          1         35        179         10         14
   52      19         82          3        151        239         10          4
   53       7         41          2         69        197         10         11
   54       7         37          1        123        349         10         10
   55       8         43          1         32        177         10         12
   56       9         36          2        152        239         10         13
   57      -2         41          1         68        279         10         15
   58      41         19          1        111        404         10         20
   59      12         39          1        123        199         10         10
   60      16         74          1         96        222         10          6
   61      -1         46          1        147        435         10         17
   62       2         35          1        152        316         10         13
   63       4         33          1         59        224         10         16
   64      39         15          1        111        314         10         20
   65       7         37          1        152        223         10         13
   66      -1         38          1         68        241         10         15
   67      39         10          6         58        148         10         19
   68      46          6          1         79        269         10         18
   69      50          4          2         79        231         10         18
   70      40          6         28         58        304         10         19
   71      18         84          6         64        170         10          3
   72       6         34          1        152        270         10         13
   73       7         27          4        101        392         10          9
   74      43         19          1        111        291         10         20
   75      21         73         12         30        199         10          2
   76       0         43          1         68        227         10         15
   77      21         78          3         30        311         10          2
   78       3         39          1        152        237         10         13
   79      19         78          1         96        196         10          6
