RC106_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.  XCOORD.    YCOORD.     DEMAND  READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20        130        190         10   
    2      22         75         30         35         95         10   
    3      22         85         10         94        154         10   
    4      20         80         40        126        186         10   
    5      20         85         20         40        100         10   
    6      18         75         20         80        140         10   
    7      15         75         20         64        124         10   
    8      15         80         10         76        136         10   
    9      10         35         20         76        136         10   
   10      10         40         30        104        164         10   
   11       8         40         40         44        104         10   
   12       8         45         20         49        109         10   
   13       5         35         10        127        187         10   
   14       5         45         10         35         95         10   
   15       2         40         20         43        103         10   
   16       0         40         20         57        117         10   
   17       0         45         20        129        189         10   
   18      44          5         20         72        132         10   
   19      42         10         40         57        117         10   
   20      42         15         10        107        167         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      28         86          2        130        291         10          1
    1      22         75         25         35        198         10          2
    2      21         85          6         94        212         10          3
    3      14         81         16        126        325         10          4
    4      17         81         13         40        210         10          5
    5      16         77          3         80        238         10          6
    6       9         74          9         64        379         10          7
    7       8         88          4         76        418         10          8
    8      12         33         13         76        389         10          9
    9       9         42         11        104        399         10         10
   10       7         40         15         44        235         10         11
   11       8         45          1         49        245         10         12
   12       3         35          5        127        311         10         13
   13       8         41          4         35        185         10         14
   14       2         39          9         43        338         10         15
   15      -1         38          8         57        152         10         16
   16       4         47         10        129        448         10         17
   17      37          7          6         72        317         10         18
   18      47          5          1         57        176         10         19
   19      44         13          2        107        328         10         20
   20       3         37          3        127        335         10         13
   21       4         45          2         44        277         10         11
   22      38         11          6        107        254         10         20
   23      44          7          5         72        288         10         18
   24      15         75          4         64        258         10          7
   25      22         88         17        130        228         10          1
   26      19         79          1         35        164         10          2
   27       3         40          6         43        148         10         15
   28      48          7         28         57        389         10         19
   29      13         75          1         76        349         10          8
   30      -2         39          8         57        134         10         16
   31      17         84          3         76        160         10          8
   32       0         45          2        129        358         10         17
   33      16         77          4        126        347         10          4
   34      14         38          1        104        214         10         10
   35       9         40          9        104        396         10         10
   36      26         77          1         35        205         10          2
   37      15         82          7        126        410         10          4
   38      45          1          3         72        232         10         18
   39      11         76          1         80        229         10          6
   40       0         43          1         43        223         10         15
   41       1         44          3        129        312         10         17
   42       1         42          4         43        193         10         15
   43      16         39          1        104        357         10         10
   44       3         40          9         44        252         10         11
   45      19         81         10        126        194         10          4
   46      -3         40          2         57        159         10         16
   47      39         11         11         57        265         10         19
   48      10         39          7         76        215         10          9
   49      19         76          2         76        394         10          8
   50      26         88          1        130        351         10          1
   51      24         71          1         35        247         10          2
   52      -1         40          1        129        343         10         17
   53      21         77          1         35        151         10          2
   54      49          7          2         72        373         10         18
   55       6         40         19         49        219         10         12
   56      16         80          1         40        314         10          5
   57       8         37          5         44        239         10         11
   58      12         70          7         64        338         10          7
   59      -2         41          1         57        223         10         16
   60      17         74         16         80        320         10          6
   61      -4         46          2        129        360         10         17
   62       3         37          2        127        295         10         13
   63      23         80          2         94        264         10          3
   64      39          8          2         72        381         10         18
   65      19         84          6         40        197         10          5
   66       1         48          2        129        213         10         17
   67       8         37          3         44        210         10         11
   68      41          5          1         72        324         10         18
   69      25         74          1         35        320         10          2
   70       9         39          6         44        333         10         11
   71      10         40          5        104        391         10         10
   72      19         79          3        126        378         10          4
   73      21         84          1         94        246         10          3
   74      41         17          2        107        271         10         20
   75       3         39          1         57        279         10         16
   76      42         10          1         72        333         10         18
   77      19         82          1         94        265         10          3
   78       5         43          6         35        188         10         14
   79       8         39          3        104        217         10         10
