RC107_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20        125        191         10   
    2      22         75         30         32         97         10   
    3      22         85         10        101        146         10   
    4      20         80         40         71        193         10   
    5      20         85         20         40        113         10   
    6      18         75         20         55        164         10   
    7      15         75         20         69        118         10   
    8      15         80         10         56        155         10   
    9      10         35         20         51        160         10   
   10      10         40         30         90        177         10   
   11       8         40         40         33        152         10   
   12       8         45         20         49        108         10   
   13       5         35         10         62        191         10   
   14       5         45         10         35        117         10   
   15       2         40         20         39        161         10   
   16       0         40         20         59        114         10   
   17       0         45         20         60        189         10   
   18      44          5         20         79        124         10   
   19      42         10         40         58        115         10   
   20      42         15         10        111        162         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      30         86         15        125        505         10          1
    1      20         82          5         32        320         10          2
    2      17         80          4        101        462         10          3
    3      17         77         35         71        250         10          4
    4      19         81          8         40        285         10          5
    5      22         75         12         55        166         10          6
    6      17         78          8         69        309         10          7
    7      15         82          9         56        245         10          8
    8      11         38         12         51        378         10          9
    9      13         43         24         90        525         10         10
   10       7         42         36         33        393         10         11
   11       6         46         20         49        147         10         12
   12       0         38          3         62        294         10         13
   13       5         40          8         35        411         10         14
   14       2         40          3         39        237         10         15
   15       0         33         17         59        498         10         16
   16      -1         46         20         60        167         10         17
   17      42          2         16         79        447         10         18
   18      44          6          5         58        370         10         19
   19      33         17          7        111        286         10         20
   20      15         77          1         69        307         10          7
   21      18         74          7         69        274         10          7
   22       0         43          3         39        362         10         15
   23      20         85          3         40        276         10          5
   24      14         33          2         51        212         10          9
   25      22         86          2        125        327         10          1
   26      -3         40          1         59        213         10         16
   27      14         79          1         69        497         10          7
   28      16         78          1         69        189         10          7
   29      10         77          1         69        416         10          7
   30      -1         45          1         35        152         10         14
   31       6         34          2         62        478         10         13
   32      24         79          1         71        336         10          4
   33      12         40          1         90        408         10         10
   34       1         39          1         59        241         10         16
   35      36          7         20         58        318         10         19
   36      16         73          5         55        264         10          6
   37      29         82          1         71        505         10          4
   38       6         44          1         90        216         10         10
   39      15         76          1         69        471         10          7
   40       3         38         11         39        202         10         15
   41      42          6          1         58        273         10         19
   42      38          2          1         79        408         10         18
   43      22         83          2        101        453         10          3
   44      16         76          1         56        478         10          8
   45      47          7          6         58        412         10         19
   46      22         88          2        101        259         10          3
   47       6         43          1         35        336         10         14
   48      26         85          1        125        467         10          1
   49      21         73          1         55        287         10          6
   50       4         42          3         39        311         10         15
   51       9         31          2         51        251         10          9
   52       6         30          1         51        236         10          9
   53      10         42          1         90        459         10         10
   54       7         43          4         33        145         10         11
   55      27         86          1        125        410         10          1
   56      24         90          2        101        320         10          3
   57      41         10          8         58        371         10         19
   58      21         77          1         71        368         10          4
   59      46          9          1         79        302         10         18
   60       5         32          2         51        256         10          9
   61      19         77          3         32        301         10          2
   62      21         71          2         55        315         10          6
   63      17         87          9         40        230         10          5
   64       7         39          1         90        234         10         10
   65      39         14          1        111        217         10         20
   66      18         75          1         71        468         10          4
   67      23         73          8         32        187         10          2
   68      42          5          2         79        296         10         18
   69      10         35          1         51        201         10          9
   70      12         43          1         90        281         10         10
   71      39         14          1        111        329         10         20
   72       3         41          1         59        324         10         16
   73      23         74          2         32        431         10          2
   74      13         79          1         71        346         10          4
   75      24         81          1        125        423         10          1
   76       6         45          1         90        490         10         10
   77       4         33          5         62        218         10         13
   78      18         75         12         32        384         10          2
   79      43         18          1        111        482         10         20
