RC108_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20         49        191         10   
    2      22         75         30         30        168         10   
    3      22         85         10         95        152         10   
    4      20         80         40         69        193         10   
    5      20         85         20         40        189         10   
    6      18         75         20         60        159         10   
    7      15         75         20         54        133         10   
    8      15         80         10         67        144         10   
    9      10         35         20         57        154         10   
   10      10         40         30        106        161         10   
   11       8         40         40         33        152         10   
   12       8         45         20         32        148         10   
   13       5         35         10         53        191         10   
   14       5         45         10         35        194         10   
   15       2         40         20         39        163         10   
   16       0         40         20         41        141         10   
   17       0         45         20         51        189         10   
   18      44          5         20         73        130         10   
   19      42         10         40         40        148         10   
   20      42         15         10         94        179         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      20         87          7         49        307         10          1
    1      22         76         22         30        373         10          2
    2      24         82          1         95        360         10          3
    3      18         77         29         69        324         10          4
    4      17         83          8         40        244         10          5
    5      13         77         11         60        469         10          6
    6      16         74         16         54        237         10          7
    7      13         83          3         67        507         10          8
    8       9         32          5         57        556         10          9
    9      10         45         20        106        625         10         10
   10      10         40         29         33        465         10         11
   11       8         45         11         32        440         10         12
   12       5         27          1         53        436         10         13
   13       8         43          5         35        440         10         14
   14       0         45         12         39        420         10         15
   15       2         36         15         41        554         10         16
   16       2         42          9         51        488         10         17
   17      44          8         11         73        420         10         18
   18      40          8         33         40        373         10         19
   19      38         11          4         94        421         10         20
   20       1         46          2         35        170         10         14
   21      46          4          4         73        548         10         18
   22      19         84          6         95        535         10          3
   23      46          9          2         40        522         10         19
   24      11         79          1         67        323         10          8
   25      11         34          4         57        485         10          9
   26      -3         41         11         51        210         10         17
   27      10         35          1         57        478         10          9
   28       5         32          7         53        242         10         13
   29      41          5          3         40        235         10         19
   30       4         41          3         33        374         10         11
   31      47          5          1         73        595         10         18
   32      28         83          1         95        367         10          3
   33      49          6          1         73        356         10         18
   34      22         85          3         69        434         10          4
   35       4         43          3         39        194         10         15
   36      21         79          9         40        324         10          5
   37       5         43          3         35        249         10         14
   38      26         91          5         49        229         10          1
   39      13         73          1         54        359         10          7
   40      -1         35          1         41        251         10         16
   41      16         71          4         60        567         10          6
   42      23         84          2         49        577         10          1
   43       7         44          4         32        381         10         12
   44      19         75          5         30        282         10          2
   45      24         84          3         49        370         10          1
   46       5         42          4         33        494         10         11
   47      42          1          1         73        583         10         18
   48      19         83          1         40        482         10          5
   49      39         13          2         40        571         10         19
   50      41          7          1         73        282         10         18
   51      12         35         10        106        317         10         10
   52      -3         35          4         41        508         10         16
   53      -2         39          1         39        262         10         15
   54       7         30          1         53        204         10         13
   55      31         82          1         49        465         10          1
   56      11         38          4         33        322         10         11
   57      42         16          6         94        369         10         20
   58      22         75          3         30        308         10          2
   59      11         37          1         32        202         10         12
   60      15         79          4         67        558         10          8
   61      11         42          4         32        453         10         12
   62      25         82          1         49        190         10          1
   63      14         71          3         60        511         10          6
   64      19         75          1         60        242         10          6
   65      16         79          2         67        502         10          8
   66       3         39          6         57        297         10          9
   67      41         11          1         73        624         10         18
   68      16         77          8         69        323         10          4
   69       3         35          2         39        356         10         15
   70      16         72          1         54        257         10          7
   71       8         39          1         53        504         10         13
   72      23         82          1         49        367         10          1
   73      12         43          4         57        295         10          9
   74       1         37          2         39        231         10         15
   75      17         82          1         40        328         10          5
   76      17         79          2         54        505         10          7
   77      30         91          2         95        570         10          3
   78      23         83          1         40        276         10          5
   79      16         78          1         60        491         10          6
