C105_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        885        994         90   
    2      45         70         30        802        893         90   
    3      42         66         10         25        186         90   
    4      42         68         10        699        810         90   
    5      42         65         10         15        120         90   
    6      40         69         20        580        743         90   
    7      40         66         20        142        253         90   
    8      38         68         20        220        359         90   
    9      38         70         10        499        640         90   
   10      35         66         10        331        436         90   
   11      35         69         10        420        533         90   
   12      25         85         20        617        756         90   
   13      22         75         30         30        155         90   
   14      22         85         10        541        646         90   
   15      20         80         40        362        451         90   
   16      20         85         40        448        555         90   
   17      18         75         20         75        172         90   
   18      15         75         20        142        291         90   
   19      15         80         10        244        379         90   
   20      30         50         10         10        137         90   
   21      30         52         20        888        991         90   
   22      28         52         20        776        919         90   
   23      28         55         10        709        800         90   
   24      25         50         10         25        184         90   
   25      25         52         40        142        251         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      41         67          2        885       1179         90          1
    1      45         71         25        802       1032         90          2
    2      44         68          1         25        503         90          3
    3      41         69          3        699       1251         90          4
    4      39         66          2         15        234         90          5
    5      36         70         11        580        953         90          6
    6      39         59         11        142        304         90          7
    7      32         62         13        220        445         90          8
    8      32         66          4        499        782         90          9
    9      36         67          6        331        576         90         10
   10      31         71          3        420        906         90         11
   11      28         86          3        617        946         90         12
   12      17         67         19         30        512         90         13
   13      18         80          4        541       1006         90         14
   14      18         77         18        362        725         90         15
   15      18         85          4        448        822         90         16
   16      17         73          8         75        367         90         17
   17      14         77         11        142        612         90         18
   18      14         79          6        244        681         90         19
   19      31         50          1         10        145         90         20
   20      28         53         13        888       1422         90         21
   21      30         54          8        776        986         90         22
   22      29         58          6        709       1103         90         23
   23      26         48          2         25        592         90         24
   24      23         52          1        142        589         90         25
   25      23         51          4         25        609         90         24
   26      17         80          4        362        932         90         15
   27      18         90          1        541        811         90         14
   28      35         69          1        220        765         90          8
   29      13         76          1        142        598         90         18
   30      12         69          4         75        638         90         17
   31      11         78          7        142        723         90         18
   32      25         67          1         30        198         90         13
   33      42         66          2        142        380         90          7
   34      27         79          1        541       1113         90         14
   35      39         70          3        699        994         90          4
   36      45         66          3         25        296         90          3
   37      18         88         29        448        632         90         16
   38      33         72          3        420        566         90         11
   39      40         65          1        220        587         90          8
   40      22         75         12        362        607         90         15
   41      16         76          3        362        949         90         15
   42      28         76          6         30        425         90         13
   43      41         63          1         25        353         90          3
   44      40         67          2        331        920         90         10
   45      34         70          1        420        758         90         11
   46      18         85          1        541       1127         90         14
   47      27         55          2        709       1100         90         23
   48      28         49          2         10        365         90         20
   49      18         68          3         30        400         90         13
   50      17         85          3        448        845         90         16
   51      25         83          1        541        739         90         14
   52      36         69          1        420        811         90         11
   53      17         82          4        244        460         90         19
   54      18         75          2         75        289         90         17
   55      23         84          1        541        711         90         14
   56      30         46          1         10        414         90         20
   57      41         68          1         15        468         90          5
   58      38         70          3        885       1070         90          1
   59      36         69          2        142        366         90          7
   60      40         68          1        802       1157         90          2
   61      24         46          1         25        391         90         24
   62      37         68          1        499       1113         90          9
   63      21         84          1        448        819         90         16
   64      42         69          5        885       1238         90          1
   65      38         68          1        220        657         90          8
   66      25         52          2        776        917         90         22
   67      32         49          3        776        985         90         22
   68      39         68          3        499        683         90          9
   69      13         74          1        142        415         90         18
   70      38         68          1        699        884         90          4
   71      39         69          3        580        752         90          6
   72      28         82          8        617       1199         90         12
   73      16         85          2        448        846         90         16
   74      18         81          1        362        582         90         15
   75      22         52         29        142        440         90         25
   76      10         73          6         75        391         90         17
   77      42         67          3         15        413         90          5
   78      22         44          1         25        426         90         24
   79      29         46          3         10        626         90         20
   80      26         52          1        709       1243         90         23
   81      27         50          1         25        320         90         24
   82      20         48          1         25        454         90         24
   83      34         64          2        142        708         90          7
   84      33         51          1         10        291         90         20
   85      35         67          2        220        758         90          8
   86      45         66          1        699       1080         90          4
   87      39         61          3         15        229         90          5
   88      40         60          1        142        430         90          7
   89      43         68          6        580       1116         90          6
   90      45         63          1         25        337         90          3
   91      21         73          1         30        589         90         13
   92      23         53          7        142        659         90         25
   93      42         62          3         25        227         90          3
   94      20         87          1        448        837         90         16
   95      41         67          1        699       1040         90          4
   96      21         85          1        541       1055         90         14
   97      37         66          1        142        417         90          7
   98      38         68          1        220        540         90          8
   99      32         50          1         10        289         90         20
  100      24         84          3        617       1203         90         12
  101      22         80          1        362        716         90         15
  102      39         64          1        802       1049         90          2
  103      25         52          7        776        989         90         22
  104      28         50          2        888       1306         90         21
  105      39         72          1        499       1044         90          9
  106      40         59          1         15        200         90          5
  107      26         47          5        888       1509         90         21
  108      38         65          1        499        962         90          9
  109      37         67          1        220        769         90          8
  110      28         54          1         10        207         90         20
  111      43         73          1        802       1166         90          2
  112      18         52          1        142        754         90         25
  113      42         67          1        142        612         90          7
  114      39         72          1         25        261         90          3
  115      43         63          1        699        851         90          4
  116      23         78          6        617       1061         90         12
  117      24         78          1        362        658         90         15
  118      48         69          1        802       1284         90          2
  119      32         63          1        420        885         90         11
  120      41         71          1        802       1127         90          2
  121      34         66          2        331        679         90         10
  122      30         50          2        142        478         90         25
  123      34         71          1        420        906         90         11
  124      30         59          1        709        945         90         23
