C106_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        890        989         90   
    2      45         70         30        816        879         90   
    3      42         66         10         55        156         90   
    4      42         68         10        703        806         90   
    5      42         65         10         15         60         90   
    6      40         69         20        559        764         90   
    7      40         66         20        172        223         90   
    8      38         68         20        250        329         90   
    9      38         70         10        489        650         90   
   10      35         66         10        361        406         90   
   11      35         69         10        450        503         90
   12      25         85         20        647        726         90   
   13      22         75         30         30         95         90   
   14      22         85         10        571        616         90   
   15      20         80         40        392        421         90   
   16      20         85         40        478        525         90   
   17      18         75         20        105        142         90   
   18      15         75         20        172        261         90   
   19      15         80         10        274        349         90   
   20      30         50         10         10         77         90   
   21      30         52         20        918        961         90   
   22      28         52         20        806        889         90   
   23      28         55         10        739        770         90   
   24      25         50         10         55        154         90   
   25      25         52         40        172        221         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      43         67          1        890       1149         90          1
    1      45         67         10        816       1047         90          2
    2      40         66          1         55        372         90          3
    3      43         66          1        703        818         90          4
    4      41         62          5         15        320         90          5
    5      41         67          8        559        773         90          6
    6      38         66          3        172        264         90          7
    7      37         71          5        250        342         90          8
    8      34         66          3        489        739         90          9
    9      39         69          4        361        591         90         10
   10      37         66          2        450        671         90         11
   11      23         85         13        647        736         90         12
   12      21         74         17         30        334         90         13
   13      22         80          1        571        944         90         14
   14      22         73          7        392        668         90         15
   15      25         84         35        478        731         90         16
   16      20         76          4        105        459         90         17
   17      13         78         16        172        546         90         18
   18      14         79          5        274        376         90         19
   19      32         50          5         10        155         90         20
   20      27         51          4        918       1047         90         21
   21      26         54         15        806       1125         90         22
   22      27         57          3        739        990         90         23
   23      22         48          3         55        364         90         24
   24      22         51         29        172        365         90         25
   25      43         67          5        559        836         90          6
   26      19         73          5        392        522         90         15
   27      42         68          5        890       1011         90          1
   28      35         64         11        172        481         90          7
   29      27         49          1         55        169         90         24
   30      34         65          1        361        660         90         10
   31      20         49          2         55        208         90         24
   32      39         70         10        250        535         90          8
   33      42         71          4        703        791         90          4
   34      44         69          3        559        917         90          6
   35      35         72          2        450        622         90         11
   36      17         49          1         55        199         90         24
   37      46         72          2        816       1014         90          2
   38      31         55          1         10        171         90         20
   39      31         90          7        647        794         90         12
   40      19         79          1        478        660         90         16
   41      15         78          2        274        639         90         19
   42      38         66          1        361        609         90         10
   43      41         64          4         55        355         90          3
   44      22         79          2        392        621         90         15
   45      46         71          4        890       1123         90          1
   46      22         87          1        478        802         90         16
   47      29         73          2        392        646         90         15
   48      35         69          1        489        667         90          9
   49      30         67          1        450        676         90         11
   50      17         78          4        105        453         90         17
   51      18         72         10        105        279         90         17
   52      27         49          1         10        384         90         20
   53      36         68          2        489        613         90          9
   54      37         69          1        489        604         90          9
   55      27         52          2        806       1167         90         22
   56      16         75         18        392        579         90         15
   57      45         70          2        816        893         90          2
   58      28         44          9        918       1115         90         21
   59      37         64          2        703        911         90          4
   60      37         58          3         15        133         90          5
   61      20         79          2        571        780         90         14
   62      36         62          1        361        557         90         10
   63      27         45          1        172        559         90         25
   64      24         47          1         55        179         90         24
   65      47         71         12        816       1045         90          2
   66      40         67          1         55        216         90          3
   67      37         70          1        559        746         90          6
   68      47         61          1         55        330         90          3
   69      42         70          3        816        927         90          2
   70      38         64          1         15        375         90          5
   71      37         64          1        361        556         90         10
   72      40         65          3        250        466         90          8
   73      43         71          1        559        714         90          6
   74      18         84          3        571        700         90         14
   75      27         59          2        739       1125         90         23
   76      31         64          1        361        716         90         10
   77      24         41          7        918       1328         90         21
   78      20         52          1         55        341         90         24
   79      19         73          1        105        443         90         17
   80      19         81          2        392        551         90         15
   81      23         49          1        739       1048         90         23
   82      26         53          1        739       1035         90         23
   83      26         50          5        172        263         90         25
   84      40         66          1        489        785         90          9
   85      15         73          1        172        462         90         18
   86      37         65          1         15        167         90          5
   87      23         50          3         10        334         90         20
   88      43         64          3        172        556         90          7
   89      18         90          3        571        927         90         14
   90      21         86          4        392        682         90         15
   91      35         65          1        450        573         90         11
   92      18         77          1        105        233         90         17
   93      36         66          1        489        778         90          9
   94      20         85          2        478        684         90         16
   95      28         54          3        806        894         90         22
   96      39         71          2        250        401         90          8
   97      13         76          1        172        335         90         18
   98      34         73          1        489        591         90          9
   99      19         48          1         55        387         90         24
  100      29         48          1        172        435         90         25
  101      23         48          3        172        355         90         25
  102      33         68          1        361        529         90         10
  103      25         74         11         30        342         90         13
  104      40         67          1         55        252         90          3
  105      35         69          1        450        661         90         11
  106      40         69          1        559        789         90          6
  107      22         52          1        172        544         90         25
  108      40         67          1        703        932         90          4
  109      24         60          1        739        848         90         23
  110      19         87          1        571        889         90         14
  111      18         79          3        274        453         90         19
  112      28         56          1        739       1006         90         23
  113      33         70          3        450        554         90         11
  114      32         54          1        739       1029         90         23
  115      42         67          1        703       1052         90          4
  116      14         75          2        172        415         90         18
  117      21         74          2         30        309         90         13
  118      42         68          1        559        916         90          6
  119      44         67          1        703       1050         90          4
  120      19         82          1        478        584         90         16
  121      40         64          1         55        413         90          3
  122      43         70          1        816       1053         90          2
  123      37         69          3        172        407         90          7
  124      40         64          1         55        321         90          3
