C107_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        850       1030         90   
    2      45         70         30        758        938         90   
    3      42         66         10         16        196         90   
    4      42         68         10        665        845         90   
    5      42         65         10         15        195         90   
    6      40         69         20        572        752         90   
    7      40         66         20        108        288         90   
    8      38         68         20        200        380         90   
    9      38         70         10        480        660         90   
   10      35         66         10        294        474         90   
   11      35         69         10        387        567         90   
   12      25         85         20        597        777         90   
   13      22         75         30         30        210         90   
   14      22         85         10        504        684         90   
   15      20         80         40        317        497         90   
   16      20         85         40        412        592         90   
   17      18         75         20         34        214         90   
   18      15         75         20        127        307         90   
   19      15         80         10        222        402         90   
   20      30         50         10         10        190         90   
   21      30         52         20        850       1030         90   
   22      28         52         20        758        938         90   
   23      28         55         10        665        845         90   
   24      25         50         10         15        195         90   
   25      25         52         40        107        287         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      49         70          1        850       1412         90          1
    1      45         70         19        758       1190         90          2
    2      41         65          6         16        231         90          3
    3      45         67          6        665       1136         90          4
    4      44         61          4         15        566         90          5
    5      45         67          4        572       1446         90          6
    6      33         63          4        108        634         90          7
    7      39         64          8        200        749         90          8
    8      39         68          1        480        984         90          9
    9      33         62          4        294        533         90         10
   10      35         67          4        387        926         90         11
   11      28         84          9        597       1490         90         12
   12      25         75          9         30        626         90         13
   13      21         91          2        504        826         90         14
   14      18         76         33        317        995         90         15
   15      22         85         31        412        654         90         16
   16      16         77          5         34        318         90         17
   17      13         79          4        127        404         90         18
   18      16         81          5        222       1041         90         19
   19      27         49          4         10        531         90         20
   20      29         52         11        850       1716         90         21
   21      22         49          9        758       1032         90         22
   22      30         51          1        665       1496         90         23
   23      26         44          3         15        647         90         24
   24      23         52          3        107        637         90         25
   25      20         84          1        597       1411         90         12
   26      26         53         15        107        998         90         25
   27      43         72          4        480        786         90          9
   28      18         79          8         34        637         90         17
   29      37         70          6        200        573         90          8
   30      40         69         10        572       1047         90          6
   31      22         79          6         30        429         90         13
   32      37         74          1        480       1328         90          9
   33      18         77          3         34        891         90         17
   34      24         51          6        758       1014         90         22
   35      22         86          3        504       1087         90         14
   36      34         74          2        387       1174         90         11
   37      17         81          1        504        743         90         14
   38      15         74          1         34        559         90         17
   39      37         64          2        294        677         90         10
   40      19         74          4        317       1182         90         15
   41      21         80          1        504        994         90         14
   42      25         45          2         15        237         90         24
   43      32         70          1        387        909         90         11
   44      23         81          2        317        584         90         15
   45      27         49          3         10        248         90         20
   46      44         70          2         15        345         90          5
   47      35         66          1        480       1331         90          9
   48      12         82          5        222        975         90         19
   49      24         56          1        665       1108         90         23
   50      26         49          1        758       1025         90         22
   51      20         85          5        412       1057         90         16
   52      34         76          1        480       1199         90          9
   53      19         74          2         30        408         90         13
   54      30         60          3        665       1590         90         23
   55      39         67          1        572        983         90          6
   56      25         51         12        107        388         90         25
   57      39         74          1        480        938         90          9
   58      34         58          2        665       1370         90         23
   59      41         66          2        572       1245         90          6
   60      27         48          1         10        302         90         20
   61      46         64          1         16        437         90          3
   62      37         69          1        572       1387         90          6
   63       9         73          9        127        757         90         18
   64      30         56          4        850       1440         90         21
   65      16         79          1        127        836         90         18
   66      23         51          1         15        782         90         24
   67      25         56          1        758       1259         90         22
   68      25         53          1        758       1229         90         22
   69      28         52          2         10        363         90         20
   70      37         70          1        200        799         90          8
   71      30         55          1        758       1603         90         22
   72      36         68          1        480        742         90          9
   73      46         67          7        850       1186         90          1
   74      24         76          5         30        885         90         13
   75      19         77          1         34        686         90         17
   76      14         78          1        317        669         90         15
   77      15         75          2        127        528         90         18
   78      21         50          1         15        405         90         24
   79      36         70          1        387        856         90         11
   80      17         72          4        127        973         90         18
   81      41         62          1         15        491         90          5
   82      38         67          1         15        477         90          5
   83      36         68          2        200        824         90          8
   84      16         76          1         34        736         90         17
   85      45         71          1        572        879         90          6
   86      39         68          1         16        710         90          3
   87      21         73          2         30        520         90         13
   88      18         81          1        504       1148         90         14
   89      44         70          1        572       1275         90          6
   90      34         68          1        387       1085         90         11
   91      33         51          2        850       1713         90         21
   92      18         83          4        412       1227         90         16
   93      50         63          2        850       1449         90          1
   94      28         52          2        107        889         90         25
   95      25         44          1         15        881         90         24
   96      43         70          2        665       1226         90          4
   97      27         55          1        758       1178         90         22
   98      20         70          1         34        461         90         17
   99      13         84          1        504       1279         90         14
  100      23         84         10        597       1374         90         12
  101      38         66         16        108        588         90          7
  102      43         72         11        758       1591         90          2
  103      41         69          1        665        921         90          4
  104      44         65          1         15        445         90          5
  105      40         68          2        200        452         90          8
  106      27         52          1         15        505         90         24
  107      23         48          1        850       1774         90         21
  108      44         64          1         15        490         90          5
  109      32         49          1        850       1241         90         21
  110      27         50          1         15        494         90         24
  111      23         79          1         30        351         90         13
  112      13         88          1        504       1060         90         14
  113      30         63          2        294        783         90         10
  114      50         65          1        665       1376         90          4
  115      39         67          2         16        688         90          3
  116      35         68          1        200        816         90          8
  117      25         48          2        665       1310         90         23
  118      26         49          4        107        677         90         25
  119      34         67          1        387       1268         90         11
  120      20         75          5         30        863         90         13
  121      26         50          1        850       1763         90         21
  122      30         67          2        294        936         90         10
  123      25         55          4        107        402         90         25
  124      29         56          1        665       1479         90         23
