C108_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        830       1049         90   
    2      45         70         30        756        939         90   
    3      42         66         10         16        336         90   
    4      42         68         10        643        866         90   
    5      42         65         10         15        226         90   
    6      40         69         20        499        824         90   
    7      40         66         20         87        308         90   
    8      38         68         20        150        429         90   
    9      38         70         10        429        710         90   
   10      35         66         10        279        488         90   
   11      35         69         10        363        590         90   
   12      25         85         20        547        826         90   
   13      22         75         30         30        280         90   
   14      22         85         10        489        698         90   
   15      20         80         40        318        495         90   
   16      20         85         40        394        609         90   
   17      18         75         20         33        226         90   
   18      15         75         20         68        365         90   
   19      15         80         10        176        447         90   
   20      30         50         10         10        265         90   
   21      30         52         20        836       1043         90   
   22      28         52         20        704        991         90   
   23      28         55         10        664        845         90   
   24      25         50         10         15        333         90   
   25      25         52         40         88        305         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      48         65          3        830       1979         90          1
    1      44         70         23        756       1355         90          2
    2      41         64          2         16        868         90          3
    3      48         67          1        643       1227         90          4
    4      43         66          4         15        968         90          5
    5      37         70          8        499       1533         90          6
    6      42         65          9         87       1004         90          7
    7      37         67          6        150       1119         90          8
    8      41         70          5        429       1168         90          9
    9      33         65          2        279        805         90         10
   10      34         68          4        363        736         90         11
   11      24         84          3        547       1576         90         12
   12      25         70          5         30        829         90         13
   13      26         88          1        489        935         90         14
   14      19         78         27        318        994         90         15
   15      20         90          6        394       1608         90         16
   16      17         70         12         33        371         90         17
   17      14         76          4         68       1129         90         18
   18      13         78          4        176        694         90         19
   19      31         45          3         10        747         90         20
   20      30         51          1        836       1188         90         21
   21      27         57         11        704       1441         90         22
   22      27         55          2        664       1100         90         23
   23      26         53          3         15        973         90         24
   24      27         56          1         88       1290         90         25
   25      18         69          2         33        518         90         17
   26      15         82         17        394       1236         90         16
   27      34         71          5        150        650         90          8
   28      39         69          5        499       1148         90          6
   29      30         49          3         10        775         90         20
   30      23         79          2        489       1488         90         14
   31      29         52          7         15       1060         90         24
   32      43         66          1         16        985         90          3
   33      28         88         13        547       1345         90         12
   34      22         78          5        318       1180         90         15
   35      44         65          5        643       1018         90          4
   36      24         76          1        318       1283         90         15
   37      33         61          8        279       1092         90         10
   38      12         78          9         68        386         90         18
   39      36         69          1        363        789         90         11
   40      41         64          1         15       1015         90          5
   41      41         68          1         15        714         90          5
   42      27         54          3        664       1243         90         23
   43      14         77          2         68        670         90         18
   44      18         87         10        394       1077         90         16
   45      10         73          3         68        546         90         18
   46      21         84          4        394       1373         90         16
   47      46         67          7         87       1132         90          7
   48      38         61          2         87        665         90          7
   49      29         50         29         88       1301         90         25
   50      44         66          1         15        471         90          5
   51      35         53          8        704       1926         90         22
   52      17         80          2        176        660         90         19
   53      14         81          1        176        592         90         19
   54      18         89          1        394       1249         90         16
   55      31         55          4         88       1212         90         25
   56      34         73          1        363       1139         90         11
   57      19         76          9         30        817         90         13
   58      47         66          1        643       1289         90          4
   59      27         50          1        836       1161         90         21
   60      23         74          6         30       1049         90         13
   61      31         55          1        664       1816         90         23
   62      45         64          2        830       1797         90          1
   63      11         67          1         68       1024         90         18
   64      43         64          1        499       1335         90          6
   65      16         74          6         33        504         90         17
   66      25         53          7        836       1900         90         21
   67      41         65          1        643       1436         90          4
   68      32         61          1        363       1108         90         11
   69      28         87          1        547       1680         90         12
   70      42         74          1        830       1899         90          1
   71      22         74          7         30        278         90         13
   72      41         67          2        830       1253         90          1
   73      36         64          1         87        752         90          7
   74      15         80          1        176        867         90         19
   75      19         78          1         30        766         90         13
   76      24         82          4        489       1444         90         14
   77      35         67          6        150       1163         90          8
   78      21         75          3        318       1443         90         15
   79      29         55          1        664       1387         90         23
   80      43         65          1         15       1156         90          5
   81      20         71          1         30       1076         90         13
   82      20         77          1         30       1218         90         13
   83      39         70          2        499       1529         90          6
   84      38         72          1        499        901         90          6
   85      28         51          3         88       1268         90         25
   86      23         50          3         88        536         90         25
   87      41         64          1         15        572         90          5
   88      17         84          1        176        807         90         19
   89      32         71          1        363        795         90         11
   90      44         63          2         16        774         90          3
   91      27         52          7        836       1353         90         21
   92      33         69          2        499       1378         90          6
   93      47         69          1        643       1254         90          4
   94      31         50          2        836       1701         90         21
   95      27         57          1        664       1503         90         23
   96      13         80          3        318        997         90         15
   97      43         69          1        643       1220         90          4
   98      40         64          1         87        627         90          7
   99      42         67          1        830       1868         90          1
  100      35         73          5        429        951         90          9
  101      24         58          1        704       1794         90         22
  102      30         48          1        836       1337         90         21
  103      49         65          7        756       1686         90          2
  104      26         84          1        547       1762         90         12
  105      22         81          3        489        877         90         14
  106      27         46          1         10        640         90         20
  107      41         69          1        830       1988         90          1
  108      39         71          1        499       1475         90          6
  109      39         64          3        150       1140         90          8
  110      19         82          1        318        763         90         15
  111      35         68          1        363        718         90         11
  112      25         89          1        394       1489         90         16
  113      28         83          2        547       1754         90         12
  114      24         55          1        664       1447         90         23
  115      28         49          3         10        894         90         20
  116      38         64          2         16        472         90          3
  117      17         77          1        176       1252         90         19
  118      30         52          1        664       1217         90         23
  119      41         66          1         15        547         90          5
  120      11         74          1         68        985         90         18
  121      18         87          1        394       1409         90         16
  122      26         56          1        836       1195         90         21
  123      30         71          1        363       1173         90         11
  124      38         66          3         16        601         90          3
