C109_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        760       1120         90   
    2      45         70         30        668       1028         90   
    3      42         66         10         16        376         90   
    4      42         68         10        575        935         90   
    5      42         65         10         15        375         90   
    6      40         69         20        482        842         90   
    7      40         66         20         18        378         90   
    8      38         68         20        110        470         90   
    9      38         70         10        390        750         90   
   10      35         66         10        204        564         90   
   11      35         69         10        297        657         90   
   12      25         85         20        507        867         90   
   13      22         75         30         30        390         90   
   14      22         85         10        414        774         90   
   15      20         80         40        227        587         90   
   16      20         85         40        322        682         90   
   17      18         75         20         33        393         90   
   18      15         75         20         37        397         90   
   19      15         80         10        132        492         90   
   20      30         50         10         10        370         90   
   21      30         52         20        760       1120         90   
   22      28         52         20        668       1028         90   
   23      28         55         10        575        935         90   
   24      25         50         10         15        375         90   
   25      25         52         40         17        377         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      42         68          5        760       2170         90          1
    1      41         64         17        668       1806         90          2
    2      44         66          1         16        965         90          3
    3      48         67          3        575       2404         90          4
    4      49         67          3         15       1715         90          5
    5      39         76         11        482        896         90          6
    6      37         68          1         18       1083         90          7
    7      37         72          6        110        510         90          8
    8      39         65          1        390       2209         90          9
    9      31         65          3        204       1070         90         10
   10      38         71          1        297       1148         90         11
   11      25         79         13        507       2333         90         12
   12      26         74          6         30        463         90         13
   13      19         83          2        414       2068         90         14
   14      24         74         12        227        757         90         15
   15      19         84          3        322       1257         90         16
   16      17         72          8         33       1119         90         17
   17      15         76          2         37       1313         90         18
   18      16         79          3        132        864         90         19
   19      28         50          3         10       1476         90         20
   20      28         51         20        760       2349         90         21
   21      23         48         16        668       1854         90         22
   22      32         55          8        575       1431         90         23
   23      24         42          8         15        421         90         24
   24      25         50         14         17       1301         90         25
   25      12         80          1        132       1885         90         19
   26      10         78          1        132       1673         90         19
   27      16         78         13        227       1424         90         15
   28      23         85          3        507       2120         90         12
   29      27         50          1        668       1106         90         22
   30      34         52          1         10       1626         90         20
   31      39         67          3         16        836         90          3
   32      29         50          2         10       1242         90         20
   33      41         72          1         16        786         90          3
   34      23         75          6         37       1053         90         18
   35      40         66          2         16        665         90          3
   36      45         67          1         16        439         90          3
   37      16         72         12         37        712         90         18
   38      14         77          1        132        555         90         19
   39      42         67          3        482       1704         90          6
   40      39         70          2        110       1471         90          8
   41      48         70          1        760       1841         90          1
   42      26         87          1        414       2153         90         14
   43      15         73          6         33       1076         90         17
   44      13         71          1        132        953         90         19
   45      26         46          1         15        887         90         24
   46      17         82         12        322       1199         90         16
   47      21         85         10        322       1478         90         16
   48      32         46          1         10        710         90         20
   49      43         70          5        668       1369         90          2
   50      48         70          3        668       1795         90          2
   51      43         65         12         18        703         90          7
   52      17         85          3        414       1975         90         14
   53      43         70          2         15       1101         90          5
   54      20         80         11        227       1459         90         15
   55      36         75          2        110       1217         90          8
   56      38         74          3        390        847         90          9
   57      43         65          1        760       2423         90          1
   58      45         68          1        668       2114         90          2
   59      47         70          2        668       2223         90          2
   60      20         84          1        414        957         90         14
   61      14         77          1         33       1138         90         17
   62      36         66          1         18       1162         90          7
   63      12         81          2        132       1218         90         19
   64      41         68          1        760       1831         90          1
   65      37         71          3         18        809         90          7
   66      46         66          2         15       1609         90          5
   67      13         79          1        132       1464         90         19
   68      37         67          2        482       2072         90          6
   69      34         67          1         15        423         90          5
   70      36         68          1         18        714         90          7
   71      19         82         10        322       1076         90         16
   72      37         69          1         18        654         90          7
   73      42         73          1        390       2041         90          9
   74      37         70          1        575       2243         90          4
   75      41         70          3        575       2192         90          4
   76      41         66          1         16       1436         90          3
   77      39         70          4        482       2102         90          6
   78      29         86          2        507        948         90         12
   79      37         67          1         18        630         90          7
   80      37         66          1         16       1183         90          3
   81      50         66          1        668       2390         90          2
   82      37         64          1         15        635         90          5
   83      28         51          1        668       2109         90         22
   84      23         80          2        227       1791         90         15
   85      33         68          2        204       1899         90         10
   86      28         50          1         10       1207         90         20
   87      33         67          2        204       1182         90         10
   88      43         68          1        575       1675         90          4
   89      23         86          1        414       1004         90         14
   90      35         69          1        390       1987         90          9
   91      26         50          1         10        776         90         20
   92      26         86          1        414        906         90         14
   93      35         65          7        297       1606         90         11
   94      43         69          1        668       1762         90          2
   95      39         68          3        390       2163         90          9
   96      22         75          1        227        811         90         15
   97      16         82          1        414        878         90         14
   98      21         83          1        227       1770         90         15
   99      23         50          1         15        480         90         24
  100      31         49          1        668       2283         90         22
  101      26         50          1         10        694         90         20
  102      41         64          1        760       1859         90          1
  103      39         66          1         15        790         90          5
  104      34         70          1        297       1822         90         11
  105      40         63          1        575       1383         90          4
  106      35         70          1        390        965         90          9
  107      27         53         26         17       1762         90         25
  108      18         74          1         33        572         90         17
  109      25         54          1        575       1931         90         23
  110      26         49          1        668       1950         90         22
  111      35         65          3        204       1881         90         10
  112      23         75         18         30       1291         90         13
  113      18         86          3        322        782         90         16
  114      29         85          1        322       1071         90         16
  115      41         71         10        110       1814         90          8
  116      29         83          1        507       1718         90         12
  117      25         49          1        575       1131         90         23
  118      27         72          6         30        823         90         13
  119      19         80          1        322        889         90         16
  120      20         85          1        507       2036         90         12
  121      32         67          1        297       1026         90         11
  122      16         74          4         33       1046         90         17
  123      44         64          1        575       1932         90          4
  124      45         71          1        760       1674         90          1
