R101_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0          35      35           0       0         230           0
    1          41      49          10     161         171          10
    2          35      17           7      50          60          10
    3          55      45          13     116         126          10
    4          55      20          19     149         159          10
    5          15      30          26      34          44          10
    6          25      30           3      99         109          10
    7          20      50           5      81          91          10
    8          10      43           9      95         105          10
    9          55      60          16      97         107          10
   10          30      60          16     124         134          10
   11          20      65          12      67          77          10
   12          50      35          19      63          73          10
   13          30      25          23     159         169          10
   14          15      10          20      32          42          10
   15          30       5           8      61          71          10
   16          10      20          19      75          85          10
   17           5      30           2     157         167          10
   18          20      40          12      87          97          10
   19          15      60          17      76          86          10
   20          45      65           9     126         136          10
   21          45      20          11      62          72          10
   22          45      10          18      97         107          10
   23          55       5          29      68          78          10
   24          65      35           3     153         163          10
   25          65      20           6     172         182          10
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      38         48          8        161        215         10          1
    1      43         23          1         50        148         10          2
    2      50         40          5        116        188         10          3
    3      51         19          9        149        211         10          4
    4      15         32          2         34         82         10          5
    5      28         34          1         99        136         10          6
    6      19         53          1         81        134         10          7
    7      11         45          4         95        146         10          8
    8      58         56          7         97        157         10          9
    9      33         55          6        124        174         10         10
   10      10         60          3         67        146         10         11
   11      48         33          7         63        107         10         12
   12      30         24         23        159        186         10         13
   13      14          8         11         32         54         10         14
   14      30          1          2         61        112         10         15
   15       7         18          2         75        139         10         16
   16       6         29          1        157        185         10         17
   17      17         41          1         87        136         10         18
   18      16         61          6         76        121         10         19
   19      46         69          3        126        190         10         20
   20      44         18          7         62        108         10         21
   21      46         10          5         97        143         10         22
   22      56          2         23         68         95         10         23
   23      66         34          1        153        197         10         24
   24      66         21          4        172        190         10         25
   25      56         19          4        149        198         10          4
   26      65         34          1        153        181         10         24
   27      49         17          2         62        114         10         21
   28      17         30         13         34         76         10          5
   29      56         20          1        149        175         10          4
   30      21         42          2         87        118         10         18
   31      41         66          1        126        179         10         20
   32      29          2          1         61        105         10         15
   33      11         55          7         76        137         10         19
   34      44         50          1        161        203         10          1
   35      54         59          5         97        117         10          9
   36      57         46          2        116        139         10          3
   37      10         41          3         95        137         10          8
   38      18         49          1         81        123         10          7
   39      30         61          2        124        176         10         10
   40      19         50          1         81        119         10          7
   41      45         63          1        126        154         10         20
   42      16         51          1         81        143         10          7
   43      57         21          2        149        185         10          4
   44      13          9          2         32         78         10         14
   45      37         15          1         50        111         10          2
   46      22         35          4         87        152         10         18
   47       9         30          1        157        198         10         17
   48      39         47          1        161        189         10          1
   49      17         52          1         81        126         10          7
   50      13         29          3         34         61         10          5
   51      47         24          2         63        144         10         12
   52      33          3          1         61        104         10         15
   53      34         15          1         50         72         10          2
   54      39         16          1         50         80         10          2
   55      29         32          1         99        140         10          6
   56      57         60          2         97        156         10          9
   57      54         20          1        149        177         10          4
   58      51         38          6         63        108         10         12
   59      66         21          1        172        228         10         25
   60      54         61          1         97        138         10          9
   61      12         46          1         95        143         10          8
   62      20         39          3         87        108         10         18
   63      11         42          1         95        150         10          8
   64      63         36          1        153        201         10         24
   65      43         64          1        126        174         10         20
   66      20         35          1         99        159         10          6
   67      43          8          9         97        137         10         22
   68      10          7          2         32         76         10         14
   69      32         16          1         50        111         10          2
   70      49          7          1         68        147         10         23
   71      37         12          1         50        117         10          2
   72      46         39          1         63        117         10         12
   73      10         20          5         75         98         10         16
   74      56         44          2        116        142         10          3
   75      54         46          1        116        168         10          3
   76      16         11          2         32         56         10         14
   77      14         56          1         76        138         10         19
   78      11         61          1         76        106         10         19
   79      29         55          4        124        178         10         10
   80      31         60          1        124        176         10         10
   81      39         63          1        126        171         10         20
   82      26         60          1        124        187         10         10
   83      42         23          2         62        109         10         21
   84      58          5          1         68        128         10         23
   85      14         12          1         32         71         10         14
   86      56          2          1         68        119         10         23
   87      24         40          1         87        121         10         18
   88      13         31          2         34         82         10          5
   89      45         67          1        126        185         10         20
   90      53         17          1        149        192         10          4
   91      34         21          1         50         91         10          2
   92      26         60          1        124        169         10         10
   93      56          6          1         68         90         10         23
   94      48         16          1         97        164         10         22
   95      43         10          1         97        156         10         22
   96      46         63          1        126        165         10         20
   97      67         21          1        172        220         10         25
   98      48         32          3         63        112         10         12
   99      24         65          1         67        120         10         11
  100      22         65          5         67        109         10         11
  101      58         21          1        149        177         10          4
  102      17         54          1         76        146         10         19
  103      58          2          1         68        120         10         23
  104      17         62          1         67        117         10         11
  105      28          7          1         61         92         10         15
  106      55          4          1         68         84         10         23
  107      50         39          1        116        173         10          3
  108      43          9          1         97        122         10         22
  109      34          5          1         61        120         10         15
  110      31         10          1         61        121         10         15
  111      43          9          1         97        123         10         22
  112      54         50          1        116        189         10          3
  113      33          2          1         61        103         10         15
  114      11         10          1         32         97         10         14
  115      15         71          2         67        127         10         11
  116      14         19          2         75        132         10         16
  117      19         57          1         76        146         10         19
  118      27         63          1        124        176         10         10
  119      13         31          6         34         87         10          5
  120      52         44          1        116        150         10          3
  121      20         36          1         87        146         10         18
  122      16          8          1         32         60         10         14
  123      58         57          1         97        138         10          9
  124       9         15         10         75        119         10         16
