R102_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        149        159         10   
    5      15         30         26          0        199         10   
    6      25         30          3         99        109         10   
    7      20         50          5          0        198         10   
    8      10         43          9         95        105         10   
    9      55         60         16         97        107         10   
   10      30         60         16        124        134         10   
   11      20         65         12         67         77         10   
   12      50         35         19          0        205         10   
   13      30         25         23        159        169         10   
   14      15         10         20         32         42         10   
   15      30          5          8         61         71         10   
   16      10         20         19         75         85         10   
   17       5         30          2        157        167         10   
   18      20         40         12         87         97         10   
   19      15         60         17         76         86         10   
   20      45         65          9        126        136         10   
   21      45         20         11          0        201         10   
   22      45         10         18         97        107         10   
   23      55          5         29         68         78         10   
   24      65         35          3        153        163         10   
   25      65         20          6        172        182         10   
 
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      34         49          2          0        204         10          1
    1      29         16          1          0        202         10          2
    2      53         42          3          0        197         10          3
    3      56         20         16        149        179         10          4
    4      12         29          5          0        199         10          5
    5      22         30          1         99        157         10          6
    6      15         48          1          0        198         10          7
    7      11         43          3         95        130         10          8
    8      51         61          6         97        155         10          9
    9      29         58          2        124        179         10         10
   10      22         63          2         67        103         10         11
   11      50         31         19          0        205         10         12
   12      26         25         23        159        208         10         13
   13      15          2         10         32        119         10         14
   14      26          3          1         61        116         10         15
   15       9         12         11         75        134         10         16
   16       5         30          1        157        172         10         17
   17      20         39          4         87        104         10         18
   18      12         60         11         76        119         10         19
   19      46         67          4        126        175         10         20
   20      42         22          4          0        201         10         21
   21      41         13          7         97        139         10         22
   22      55          3         17         68         92         10         23
   23      64         32          1        153        178         10         24
   24      65         22          1        172        230         10         25
   25      39         17          5          0        201         10         21
   26      11         60          1         76        126         10         19
   27      43         71          1        126        199         10         20
   28      42         44          3          0        204         10          1
   29      56          8          8         68        110         10         23
   30      36         25          1          0        202         10          2
   31      32          2          3         61        118         10         15
   32      55         57          3         97        133         10          9
   33      37         13          3         97        182         10         22
   34      33          5          1         61         92         10         15
   35      12         66          1         76        123         10         19
   36      33         12          1          0        202         10          2
   37      10         46          1         95        142         10          8
   38      38         51          1          0        204         10          1
   39      31          7          1         61         96         10         15
   40      64         22          4        172        211         10         25
   41      53         18          1        149        196         10          4
   42      53         44          4          0        197         10          3
   43      23         28          1         99        130         10          6
   44      25         30          1         99        120         10          6
   45      14         65          1         76        147         10         19
   46      21         66          4         67         91         10         11
   47      15         61          1         67        119         10         11
   48       2         30          1        157        218         10         17
   49      42          8          4         97        147         10         22
   50      48         18          1          0        201         10         21
   51       5         35          2         95        171         10          8
   52      14         41          2         87        139         10         18
   53      20         12          4         32         75         10         14
   54      13         58          1         76        109         10         19
   55      45          9          2         97        131         10         22
   56      16         64          1         67        129         10         11
   57      65         34          1        153        184         10         24
   58      53         59          1         97        132         10          9
   59       8         38          3         95        160         10          8
   60      15         61          1         76        102         10         19
   61       8         20          1         75        130         10         16
   62      19         41          2         87        125         10         18
   63      43         14          1         97        162         10         22
   64      64         34          1        153        186         10         24
   65      17         42          1         87        130         10         18
   66      26         60          9        124        169         10         10
   67      14          8          2         32         81         10         14
   68      30         53          1        124        191         10         10
   69      15         59          1         76        120         10         19
   70      36         50          1          0        204         10          1
   71      65         22          1        172        221         10         25
   72      45         67          2        126        182         10         20
   73      55         46          2          0        197         10          3
   74      31         17          1          0        202         10          2
   75      55         58          2         97        148         10          9
   76      17         43          1         87        140         10         18
   77      40         48          1          0        204         10          1
   78      59          0          1         68        147         10         23
   79      13          8          1         32         88         10         14
   80      51          6          1         68        134         10         23
   81      31         60          1        124        155         10         10
   82      53         40          1          0        197         10          3
   83      62         46          1          0        197         10          3
   84      41         50          1          0        204         10          1
   85      18          7          1         32         87         10         14
   86      23         36          1         87        140         10         18
   87      29         54          1        124        189         10         10
   88      15          8          1         32         62         10         14
   89      33         19          1          0        202         10          2
   90      39         63          1        126        179         10         20
   91      13         23          2         75        141         10         16
   92      37         21          1          0        202         10          2
   93      41         48          1          0        204         10          1
   94      56         46          1          0        197         10          3
   95       7         20          3         75        124         10         16
   96      13          8          1         32         91         10         14
   97      19         64          2         67        121         10         11
   98      59          7          1         68        119         10         23
   99      40         14          1          0        201         10         21
  100      51         43          1          0        197         10          3
  101      21         44          1          0        198         10          7
  102      39         19          1          0        202         10          2
  103      12         27         20          0        199         10          5
  104      56         62          1         97        143         10          9
  105      56          8          1         68        108         10         23
  106      60         21          1        149        201         10          4
  107      33         60          1        124        150         10         10
  108      19         65          1         67        103         10         11
  109      29          2          1         61         90         10         15
  110      10         20          1         75        110         10         16
  111      53         18          1        149        173         10          4
  112      17         50          1          0        198         10          7
  113      42         65          1        126        175         10         20
  114      40          5          1         97        158         10         22
  115      15         39          1         87        161         10         18
  116      22         45          1          0        198         10          7
  117      17         49          1          0        198         10          7
  118      58         56          1         97        168         10          9
  119      16         66          1         67        110         10         11
  120      18         30          1          0        199         10          5
  121      56         61          2         97        114         10          9
  122      29          4          1         61         85         10         15
  123      30         57          1        124        159         10         10
  124       8         22          1         75        120         10         16
