R103_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        149        159         10   
    5      15         30         26          0        199         10   
    6      25         30          3         99        109         10   
    7      20         50          5          0        198         10   
    8      10         43          9         95        105         10   
    9      55         60         16         97        107         10   
   10      30         60         16        124        134         10   
   11      20         65         12         67         77         10   
   12      50         35         19          0        205         10   
   13      30         25         23        159        169         10   
   14      15         10         20          0        187         10   
   15      30          5          8         61         71         10   
   16      10         20         19          0        190         10   
   17       5         30          2        157        167         10   
   18      20         40         12          0        204         10   
   19      15         60         17          0        187         10   
   20      45         65          9          0        188         10   
   21      45         20         11          0        201         10   
   22      45         10         18         97        107         10   
   23      55          5         29         68         78         10   
   24      65         35          3          0        190         10   
   25      65         20          6        172        182         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      44         44          2          0        204         10          1
    1      33         15          2          0        202         10          2
    2      53         43          1          0        197         10          3
    3      50         21          7        149        185         10          4
    4      12         25          1          0        199         10          5
    5      25         30          1         99        132         10          6
    6      16         49          1          0        198         10          7
    7       6         40          3         95        130         10          8
    8      54         60          1         97        138         10          9
    9      29         63         11        124        149         10         10
   10      23         68          2         67         99         10         11
   11      46         33          1          0        205         10         12
   12      31         27         12        159        214         10         13
   13      13          5          7          0        187         10         14
   14      31         10          1         61        130         10         15
   15       5         23         10          0        190         10         16
   16       4         29          1        157        186         10         17
   17      21         40          3          0        204         10         18
   18      10         57         12          0        187         10         19
   19      46         59          3          0        188         10         20
   20      38         16          4          0        201         10         21
   21      47          9         11         97        122         10         22
   22      57          5         18         68         89         10         23
   23      66         29          1          0        190         10         24
   24      66         21          2        172        220         10         25
   25      29         26          1         99        154         10          6
   26      12         29         21          0        199         10          5
   27      53         45          4          0        197         10          3
   28      18         66          2         67        116         10         11
   29      53         47          3          0        197         10          3
   30      56         19          1        149        167         10          4
   31      20         51          1          0        198         10          7
   32      10         26          1          0        199         10          5
   33      11          8          4          0        187         10         14
   34      42         22          3          0        201         10         21
   35      52         21          2        149        200         10          4
   36      41         67          1          0        188         10         20
   37      21         45          1          0        198         10          7
   38      21         52          1          0        198         10          7
   39      46         68          1          0        188         10         20
   40       9         33          1         95        171         10          8
   41      49         68          1          0        188         10         20
   42      30         62          4        124        165         10         10
   43      66         37          1          0        190         10         24
   44      47         25          1          0        201         10         21
   45      54         33          1          0        205         10         12
   46      53         48          1          0        197         10          3
   47      16         45          1          0        204         10         18
   48      45         68          1          0        188         10         20
   49      14          8          3          0        187         10         14
   50      48         64          1          0        188         10         20
   51      34          2          3         61        127         10         15
   52       7         30          1        157        193         10         17
   53      53          7          2         68        102         10         23
   54       9         44          1         95        115         10          8
   55      52         36         13          0        205         10         12
   56       9          7          3          0        187         10         14
   57      51         59          8         97        160         10          9
   58      12          6          1          0        187         10         14
   59      65         36          1          0        190         10         24
   60      20         52          1          0        198         10          7
   61      44         62          1          0        188         10         20
   62      15         33          1          0        199         10          5
   63      55         33          1          0        205         10         12
   64      14          6          1          0        187         10         14
   65      17         58          1          0        187         10         19
   66      17         63          1          0        187         10         19
   67      52         23          3        149        191         10          4
   68      40         45          4          0        204         10          1
   69      34         23          1          0        202         10          2
   70      12         56          1          0        187         10         19
   71      53         44          1          0        197         10          3
   72      19         34          1          0        199         10          5
   73      55         42          1          0        197         10          3
   74      64         20          1        172        197         10         25
   75      53         60          3         97        137         10          9
   76      52          6          9         68        115         10         23
   77      57         39          2          0        197         10          3
   78      33         13          1          0        202         10          2
   79      44         47          2          0        204         10          1
   80      46         10          2         97        126         10         22
   81      14         43          1         95        159         10          8
   82      25         38          2          0        204         10         18
   83      50         37          1          0        205         10         12
   84      22         34          3          0        204         10         18
   85       6         43          1         95        143         10          8
   86      34          3          1         61        123         10         15
   87      63         20          3        172        201         10         25
   88      30         13          1          0        202         10          2
   89      55         57          1         97        130         10          9
   90      14          9          1          0        187         10         14
   91      36         48          1          0        204         10          1
   92      28         15          1          0        202         10          2
   93      45         20          1          0        201         10         21
   94      17         61          1          0        187         10         19
   95      49         36          1          0        205         10         12
   96      23         63          6         67        121         10         11
   97      24         35          1         99        152         10          6
   98      31         26         11        159        208         10         13
   99      19         67          1         67        119         10         11
  100      46          4          2         97        170         10         22
  101      40         49          1          0        204         10          1
  102      38         20          1          0        201         10         21
  103      55         17          3        149        201         10          4
  104      31         14          1          0        202         10          2
  105      28         11          1         61        109         10         15
  106      11         16          9          0        190         10         16
  107      18         64          1         67        112         10         11
  108      11         57          1          0        187         10         19
  109       7         44          1         95        133         10          8
  110      59         23          3        149        223         10          4
  111      53         36          1          0        205         10         12
  112      57         61          1         97        153         10          9
  113      42          5          1         97        155         10         22
  114      32         59          1        124        162         10         10
  115      46         20          1          0        201         10         21
  116      31          6          1         61         79         10         15
  117      16         42          1          0        204         10         18
  118      40          8          2         97        159         10         22
  119      48         64          2         97        173         10          9
  120      23         38          1          0        204         10         18
  121      19         26          1          0        199         10          5
  122       8         36          1         95        180         10          8
  123      18         40          1          0        204         10         18
  124      26          3          1         61         95         10         15
