R105_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10        151        181         10   
    2      35         17          7         40         70         10   
    3      55         45         13        106        136         10   
    4      55         20         19        139        169         10   
    5      15         30         26         24         54         10   
    6      25         30          3         89        119         10   
    7      20         50          5         71        101         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16        114        144         10   
   11      20         65         12         57         87         10   
   12      50         35         19         53         83         10   
   13      30         25         23        149        179         10   
   14      15         10         20         32         62         10   
   15      30          5          8         51         81         10   
   16      10         20         19         65         95         10   
   17       5         30          2        147        177         10   
   18      20         40         12         77        107         10   
   19      15         60         17         66         96         10   
   20      45         65          9        116        146         10   
   21      45         20         11         52         82         10   
   22      45         10         18         87        117         10   
   23      55          5         29         58         88         10   
   24      65         35          3        143        173         10   
   25      65         20          6        156        186         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      43         49          4        151        281         10          1
    1      41         18          4         40        192         10          2
    2      56         45          1        106        148         10          3
    3      51         22          8        139        267         10          4
    4      16         29          4         24        104         10          5
    5      21         30          1         89        146         10          6
    6      23         53          1         71        154         10          7
    7      11         40          3         85        236         10          8
    8      53         57         11         87        189         10          9
    9      31         63          5        114        177         10         10
   10      17         63          5         57        190         10         11
   11      52         28          8         53        151         10         12
   12      30         25         18        149        203         10         13
   13       7         13         10         32        112         10         14
   14      30          4          2         51        151         10         15
   15       9         20          8         65        101         10         16
   16       6         28          1        147        216         10         17
   17      14         38          2         77        195         10         18
   18      16         52          4         66        166         10         19
   19      48         70          2        116        190         10         20
   20      41         16          1         52        209         10         21
   21      46         12         14         87        157         10         22
   22      55          3         11         58        196         10         23
   23      63         40          1        143        296         10         24
   24      68         19          1        156        300         10         25
   25      66         17          1        156        236         10         25
   26      10         26         16         24        138         10          5
   27      49          4          8         58        139         10         23
   28      19         50          1         71        188         10          7
   29      55          4          5         58        190         10         23
   30      25         30          1         89        223         10          6
   31      43         21          5         52        129         10         21
   32      67         32          1        143        212         10         24
   33      25         31          1         89        174         10          6
   34      23         69          1         57        145         10         11
   35      47         11          2         87        131         10         22
   36      43         51          2        151        268         10          1
   37      52         17          1        139        227         10          4
   38      12         36          1         24        142         10          5
   39      39         16          1         40        139         10          2
   40      14          9          1         32        149         10         14
   41      21         63          1         57        112         10         11
   42      39         50          1        151        277         10          1
   43      65         20          1        156        188         10         25
   44      49         15          1         52        176         10         21
   45      20         63          1         57        205         10         11
   46      51         18          1         52        205         10         21
   47      70         35          1        143        245         10         24
   48      21         38          3         77        128         10         18
   49       6         19          6         65        224         10         16
   50      48         64          1        116        163         10         20
   51      55         19          7        139        244         10          4
   52      54         18          2        139        290         10          4
   53      11         58          8         66        224         10         19
   54      14         25          2         24        179         10          5
   55      46         36         11         53        155         10         12
   56      20         41          1         77        151         10         18
   57      46         19          1         52        163         10         21
   58      49         20          1         52        221         10         21
   59      23         40          4         77        161         10         18
   60      30         59          1        114        195         10         10
   61      21         38          1         77        148         10         18
   62      52         41          5        106        174         10          3
   63      49         67          2        116        251         10         20
   64      12         38          1         85        165         10          8
   65      25         63          5        114        203         10         10
   66       9         18          1         65        167         10         16
   67       9         29          1        147        305         10         17
   68      27         62          2        114        228         10         10
   69      11         41          1         85        146         10          8
   70      55         45          3        106        156         10          3
   71      18         42          1         71        144         10          7
   72      11         46          1         85        218         10          8
   73       6         47          1         85        209         10          8
   74      14         49          1         71        155         10          7
   75      10         42          1         85        164         10          8
   76      43         16          1         52        104         10         21
   77      27         62          1        114        274         10         10
   78      41         68          1        116        277         10         20
   79      10         31          1         24        192         10          5
   80      24         66          1         57        125         10         11
   81      57         20          1        139        245         10          4
   82      20         12          2         32        146         10         14
   83      20         69          3         57        157         10         11
   84      39         47          1        151        314         10          1
   85      31          7          1         51        153         10         15
   86      16         18          2         32        219         10         14
   87      12         32          1         24         92         10          5
   88      19         33          1         24        143         10          5
   89      32         60          1        114        248         10         10
   90      12         10          3         32        168         10         14
   91      26          4          5         51        122         10         15
   92      52         39          1        106        268         10          3
   93      14         57          1         66        163         10         19
   94      20         52          1         71        220         10          7
   95      11         20          1         65        211         10         16
   96      49         62          1        116        256         10         20
   97      65         21          1        156        199         10         25
   98       8         23          1         65        183         10         16
   99      64         23          1        156        301         10         25
  100      37         47          1        151        233         10          1
  101      32         57          1        114        181         10         10
  102      35         21          1        149        248         10         13
  103       5         23          1         65        233         10         16
  104      34         10          1         40        224         10          2
  105      18         44          1         77        202         10         18
  106      43         43          1        151        213         10          1
  107      65         22          1        156        212         10         25
  108      44         65          1        116        228         10         20
  109      53          7          5         58        192         10         23
  110       8         25          1         65        154         10         16
  111      58         45          1        106        198         10          3
  112      34         24          4        149        242         10         13
  113      40         18          1         40        206         10          2
  114      15          7          1         32         90         10         14
  115      15         12          1         32        124         10         14
  116      14         56          3         66        206         10         19
  117      53         45          1        106        152         10          3
  118      44          7          2         87        215         10         22
  119      44         64          1        116        218         10         20
  120      11         59          1         66        142         10         19
  121      57         47          1        106        259         10          3
  122      56         59          2         87        202         10          9
  123      56         56          3         87        168         10          9
  124       9         37          1         85        147         10          8
