R106_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        139        169         10   
    5      15         30         26          0        199         10   
    6      25         30          3         89        119         10   
    7      20         50          5          0        198         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16        114        144         10   
   11      20         65         12         57         87         10   
   12      50         35         19          0        205         10   
   13      30         25         23        149        179         10   
   14      15         10         20         32         62         10   
   15      30          5          8         51         81         10   
   16      10         20         19         65         95         10   
   17       5         30          2        147        177         10   
   18      20         40         12         77        107         10   
   19      15         60         17         66         96         10   
   20      45         65          9        116        146         10   
   21      45         20         11          0        201         10   
   22      45         10         18         87        117         10   
   23      55          5         29         58         88         10   
   24      65         35          3        143        173         10   
   25      65         20          6        156        186         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      42         54          5          0        204         10          1
    1      34         15          2          0        202         10          2
    2      59         42          4          0        197         10          3
    3      55         15          8        139        225         10          4
    4      18         28          4          0        199         10          5
    5      21         35          1         89        218         10          6
    6      22         49          2          0        198         10          7
    7      13         43          2         85        181         10          8
    8      53         59          1         87        188         10          9
    9      28         58          9        114        165         10         10
   10      17         63          5         57        207         10         11
   11      49         35         14          0        205         10         12
   12      27         22         16        149        247         10         13
   13      12         13         15         32        195         10         14
   14      30          5          1         51         95         10         15
   15      15         21          1         65        150         10         16
   16       6         27          1        147        195         10         17
   17      15         43          7         77        208         10         18
   18      14         60         10         66        161         10         19
   19      45         64          2        116        185         10         20
   20      48         19          4          0        201         10         21
   21      44         12          9         87        175         10         22
   22      56          5          2         58        150         10         23
   23      66         40          1        143        304         10         24
   24      63         19          1        156        207         10         25
   25      33         29          4        149        221         10         13
   26      22         67          5         57        189         10         11
   27       3         17          6         65        137         10         16
   28      65         20          1        156        288         10         25
   29      68         18          1        156        240         10         25
   30      30         60          1        114        193         10         10
   31      43         63          1        116        199         10         20
   32      25         24          2        149        319         10         13
   33      58         57          2         87        175         10          9
   34      18         40          1         77        205         10         18
   35      64         17          1        156        225         10         25
   36      41         12          3         87        152         10         22
   37      67         33          1        143        305         10         24
   38      65         20          1        156        257         10         25
   39      51         21          1        139        279         10          4
   40       9         62          2         66        240         10         19
   41      56         19          5        139        262         10          4
   42      46         33          1          0        205         10         12
   43      24         39          1         77        136         10         18
   44      40         62          1        116        199         10         20
   45      17         65          2         57        161         10         11
   46      13         16          7         65        187         10         16
   47      11         66          1         66        134         10         19
   48      15         24          2         65        188         10         16
   49      32          1          1         51        148         10         15
   50       9         43          1         85        233         10          8
   51      63         36          1        143        295         10         24
   52      54         39          1          0        197         10          3
   53      15          9          1         32        183         10         14
   54      21         49          3          0        198         10          7
   55      52          2         13         58        109         10         23
   56      27          7          2         51        123         10         15
   57       9         15          1         65        236         10         16
   58      45         11          2         87        161         10         22
   59       8         62          1         66        206         10         19
   60      12         60          1         66        222         10         19
   61      51         35          1          0        205         10         12
   62      24         61          1        114        270         10         10
   63      15         25         15          0        199         10          5
   64      28          1          1         51        215         10         15
   65      32         61          3        114        212         10         10
   66       4         31          1        147        297         10         17
   67      39         16          1          0        202         10          2
   68      11         48          2         85        210         10          8
   69      19          8          1         32         95         10         14
   70      46         65          1        116        201         10         20
   71      50         16          3        139        318         10          4
   72      49         23          3          0        201         10         21
   73      59         56          1         87        223         10          9
   74      19         43          1         77        185         10         18
   75      34          5          1         51        151         10         15
   76      12         35          2          0        199         10          5
   77      14         36          1          0        199         10          5
   78      41         24          2          0        201         10         21
   79      27         56          1        114        184         10         10
   80      22         33          1         89        213         10          6
   81       8         40          1         85        213         10          8
   82      43         47          2          0        204         10          1
   83       5         39          1         85        191         10          8
   84      47         20          1          0        201         10         21
   85      51         59          5         87        150         10          9
   86      32         31          1         89        271         10          6
   87      13         12          1         32         95         10         14
   88      24         40          1         77        187         10         18
   89      45         46          3          0        204         10          1
   90      35         17          1          0        202         10          2
   91      16         15          1         65        188         10         16
   92      50         62          7         87        192         10          9
   93       9         37          1         85        164         10          8
   94      36         18          1          0        202         10          2
   95      17         34          1          0        199         10          5
   96      46         61          2        116        270         10         20
   97      15         58          1         66        111         10         19
   98      37         24          1          0        201         10         21
   99      45          8          3         87        145         10         22
  100       6         43          1         85        147         10          8
  101      13          6          1         32        147         10         14
  102      15         23          2          0        199         10          5
  103      53         33          1          0        205         10         12
  104      46         37          1          0        205         10         12
  105      17         58          1         66        170         10         19
  106      26         60          1        114        205         10         10
  107      65         19          1        156        260         10         25
  108       9         19          1         65        220         10         16
  109      60         20          1        139        218         10          4
  110      12         34          1          0        199         10          5
  111      15          4          1         32        149         10         14
  112      49         67          1        116        262         10         20
  113      28          5          1         51        193         10         15
  114      54         36          1          0        205         10         12
  115      53         47          8          0        197         10          3
  116      29         20          1          0        202         10          2
  117      27         21          1        149        307         10         13
  118      58          3         14         58        172         10         23
  119      51         13          1         87        257         10         22
  120      47         65          1        116        272         10         20
  121      53         17          1        139        206         10          4
  122      30          0          1         51        160         10         15
  123      20         38          1         77        143         10         18
  124      35         14          1          0        202         10          2
