R107_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        139        169         10   
    5      15         30         26          0        199         10   
    6      25         30          3         89        119         10   
    7      20         50          5          0        198         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16        114        144         10   
   11      20         65         12         57         87         10   
   12      50         35         19          0        205         10   
   13      30         25         23        149        179         10   
   14      15         10         20          0        187         10   
   15      30          5          8         51         81         10   
   16      10         20         19          0        190         10   
   17       5         30          2        147        177         10   
   18      20         40         12          0        204         10   
   19      15         60         17          0        187         10   
   20      45         65          9          0        188         10   
   21      45         20         11          0        201         10   
   22      45         10         18         87        117         10   
   23      55          5         29         58         88         10   
   24      65         35          3          0        190         10   
   25      65         20          6        156        186         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      40         47          3          0        204         10          1
    1      35         13          1          0        202         10          2
    2      58         44          8          0        197         10          3
    3      49         18          5        139        228         10          4
    4      14         29          3          0        199         10          5
    5      25         29          1         89        138         10          6
    6      18         51          1          0        198         10          7
    7      12         37          4         85        253         10          8
    8      55         55          9         87        192         10          9
    9      27         61          9        114        165         10         10
   10      17         63          5         57        171         10         11
   11      51         37          8          0        205         10         12
   12      28         24         17        149        268         10         13
   13      11          8         11          0        187         10         14
   14      27          3          6         51        129         10         15
   15       8         14         13          0        190         10         16
   16       9         30          1        147        220         10         17
   17      18         36          4          0        204         10         18
   18      14         66         11          0        187         10         19
   19      44         64          4          0        188         10         20
   20      39         16          3          0        201         10         21
   21      45          7         10         87        182         10         22
   22      56          3          8         58        200         10         23
   23      62         28          2          0        190         10         24
   24      62         22          1        156        207         10         25
   25      31         27          1        149        261         10         13
   26      18         65          2          0        187         10         19
   27      34         25          1        149        274         10         13
   28      22         39          6          0        204         10         18
   29      50         34          7          0        205         10         12
   30      64         22          1        156        215         10         25
   31      19         44          1          0        198         10          7
   32      48         16          2          0        201         10         21
   33      12         11          2          0        187         10         14
   34      44          7          7         87        180         10         22
   35      44         12          3          0        201         10         21
   36      54          3          4         58        177         10         23
   37      30          0          1         51        215         10         15
   38      18         59          1         57        235         10         11
   39      65         23          1        156        313         10         25
   40      33         17          1          0        202         10          2
   41       8         18          2          0        190         10         16
   42       2         32          1        147        289         10         17
   43      30         28          1        149        245         10         13
   44      66         21          1        156        303         10         25
   45      23         48          1          0        198         10          7
   46      11         56          1          0        187         10         19
   47      60         56          1         87        183         10          9
   48      16         22          1          0        190         10         16
   49       8         40          1         85        134         10          8
   50      21         35          1          0        204         10         18
   51      21         65          2         57        185         10         11
   52      16         49          1          0        198         10          7
   53      14         60          1          0        187         10         19
   54       9         12          2          0        187         10         14
   55      19         30         17          0        199         10          5
   56      50         36          2          0        205         10         12
   57      57         48          1          0        197         10          3
   58      19         27          1         89        257         10          6
   59      55         22          4        139        224         10          4
   60      37         18          1          0        202         10          2
   61      15         62          1         57        141         10         11
   62      10         13          2          0        187         10         14
   63      16         17          1          0        187         10         14
   64      18         58          1          0        187         10         19
   65       7         40          1         85        223         10          8
   66      33         60          1        114        160         10         10
   67      33         16          1          0        202         10          2
   68      10         43          1         85        121         10          8
   69      37         17          1          0        202         10          2
   70       6         15          1          0        190         10         16
   71      12         37          2          0        199         10          5
   72      41         51          2          0        204         10          1
   73      38         49          2          0        204         10          1
   74      29         22          1        149        266         10         13
   75      59         -1         13         58        180         10         23
   76      22         38          1          0        204         10         18
   77      21         34          1         89        189         10          6
   78      35         18          1          0        202         10          2
   79      56          0          2         58        121         10         23
   80      16         50          1          0        198         10          7
   81      64         22          1        156        217         10         25
   82       6         40          1         85        168         10          8
   83      27         27          1        149        241         10         13
   84      56         55          2         87        176         10          9
   85      64         18          1        156        257         10         25
   86      33         22          1        149        237         10         13
   87      44          7          1         87        208         10         22
   88      10         21          1          0        190         10         16
   89      29          4          1         51        142         10         15
   90      35         15          1          0        202         10          2
   91      14         58          1          0        187         10         19
   92      63         36          1          0        190         10         24
   93      31         57          2        114        165         10         10
   94      38         61          1        114        295         10         10
   95      44         48          3          0        204         10          1
   96      55         47          1          0        197         10          3
   97      50         20          2        139        225         10          4
   98      59         37          1          0        197         10          3
   99      48         33          2          0        205         10         12
  100      53         20          3        139        212         10          4
  101      15         61          1         57        231         10         11
  102      10          9          1          0        187         10         14
  103      54         16          1        139        236         10          4
  104      49         60          4         87        208         10          9
  105      15         26          1          0        199         10          5
  106       9         19          1          0        190         10         16
  107      34         59          1        114        233         10         10
  108      16         29          1          0        199         10          5
  109      31         55          1        114        228         10         10
  110      20         67          1         57        178         10         11
  111      15         27          1          0        199         10          5
  112      55          9          2         58        170         10         23
  113      52         23          2        139        277         10          4
  114      48         63          1          0        188         10         20
  115      16         12          1          0        187         10         14
  116      23         56          1        114        272         10         10
  117      48         69          4          0        188         10         20
  118      20         60          1         57        201         10         11
  119      58         20          2        139        263         10          4
  120      51         42          1          0        197         10          3
  121      48         19          3          0        201         10         21
  122       9         44          1         85        146         10          8
  123       9         26          1          0        199         10          5
  124      60         44          1          0        197         10          3
