R108_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        139        169         10   
    5      15         30         26          0        199         10   
    6      25         30          3          0        208         10   
    7      20         50          5          0        198         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16          0        194         10   
   11      20         65         12         57         87         10   
   12      50         35         19          0        205         10   
   13      30         25         23        149        179         10   
   14      15         10         20          0        187         10   
   15      30          5          8         51         81         10   
   16      10         20         19          0        190         10   
   17       5         30          2          0        189         10   
   18      20         40         12          0        204         10   
   19      15         60         17          0        187         10   
   20      45         65          9          0        188         10   
   21      45         20         11          0        201         10   
   22      45         10         18          0        193         10   
   23      55          5         29         58         88         10   
   24      65         35          3          0        190         10   
   25      65         20          6        156        186         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      45         48          2          0        204         10          1
    1      36         17          1          0        202         10          2
    2      55         43          2          0        197         10          3
    3      52         20          2        139        299         10          4
    4      13         30          4          0        199         10          5
    5      17         30          1          0        208         10          6
    6      26         48          1          0        198         10          7
    7      15         45          4         85        179         10          8
    8      52         61          5         87        219         10          9
    9      23         60         16          0        194         10         10
   10      17         62          6         57        131         10         11
   11      50         34          7          0        205         10         12
   12      27         21         10        149        270         10         13
   13      14         13          2          0        187         10         14
   14      24          5          1         51        133         10         15
   15       5         21          6          0        190         10         16
   16       6         28          1          0        189         10         17
   17      23         45          5          0        204         10         18
   18      10         60          2          0        187         10         19
   19      46         63          1          0        188         10         20
   20      48         25          7          0        201         10         21
   21      40          5         13          0        193         10         22
   22      54          0          5         58        188         10         23
   23      64         31          1          0        190         10         24
   24      66         20          1        156        206         10         25
   25      45          4          1          0        193         10         22
   26      17         54          7          0        187         10         19
   27       8         40          1         85        159         10          8
   28      35         14          1          0        202         10          2
   29      56          9          7         58        207         10         23
   30      57         56          3         87        151         10          9
   31      35         16          1          0        202         10          2
   32       1         38          1          0        189         10         17
   33      32          4          1         51        147         10         15
   34      56          6          2         58        187         10         23
   35      27         29          1          0        208         10          6
   36      67         35          1          0        190         10         24
   37      17         48          1          0        198         10          7
   38      60         61          1         87        231         10          9
   39      15         66          1         57        200         10         11
   40      12         23          6          0        190         10         16
   41      23         60          2          0        187         10         19
   42      55         57          4         87        231         10          9
   43      17         16          1          0        190         10         16
   44      44         57          3          0        188         10         20
   45      14         57          3          0        187         10         19
   46       7         18          1          0        190         10         16
   47      27         65          1         57        234         10         11
   48      22         63          1         57        143         10         11
   49      49         67          5          0        188         10         20
   50      17         41          3          0        204         10         18
   51      19         55          1          0        198         10          7
   52      56          1          8         58        178         10         23
   53      18         45          1          0        204         10         18
   54      13         47          1         85        140         10          8
   55      43         12          1          0        193         10         22
   56      26         20          2        149        278         10         13
   57      16         50          1          0        198         10          7
   58      44         26          1          0        201         10         21
   59      16         62          1          0        187         10         19
   60      61         47          7          0        197         10          3
   61      54          9          4         58        110         10         23
   62      21         26          1          0        208         10          6
   63      10         17          3          0        190         10         16
   64      37         18          1          0        202         10          2
   65      16         23         17          0        199         10          5
   66      65         22          2        156        300         10         25
   67      10         19          1          0        190         10         16
   68      56         48          1          0        197         10          3
   69      53         22          2        139        241         10          4
   70      46         10          1          0        193         10         22
   71      20         55          1          0        198         10          7
   72      42         10          1          0        193         10         22
   73      14         62          1          0        187         10         19
   74      20         62          1         57        183         10         11
   75      52         43          1          0        197         10          3
   76      39         47          1          0        204         10          1
   77      49         44          2          0        204         10          1
   78      16         59          1          0        187         10         19
   79      31          3          1         51        207         10         15
   80      32         17          1          0        202         10          2
   81      67         18          1        156        298         10         25
   82      10         16          1          0        190         10         16
   83      50         21          8        139        292         10          4
   84      63         35          1          0        190         10         24
   85      11         50          1         85        240         10          8
   86      31          6          1         51        190         10         15
   87      29         23          1          0        202         10          2
   88      47         13          1          0        201         10         21
   89      47         37         12          0        205         10         12
   90      17          5          2          0        187         10         14
   91       6         41          2         85        202         10          8
   92      49         50          1          0        197         10          3
   93      49         11          1          0        193         10         22
   94      47         20          1          0        201         10         21
   95      52         61          1         87        148         10          9
   96      53         58          1         87        213         10          9
   97      54         56          1         87        233         10          9
   98      29          3          2         51        193         10         15
   99      37         17          1          0        202         10          2
  100      14         13          7          0        187         10         14
  101      42         53          1          0        204         10          1
  102      16         12          3          0        187         10         14
  103      18         10          3          0        187         10         14
  104      27         59          1         57        185         10         11
  105      18         25          2          0        199         10          5
  106      42         49          1          0        204         10          1
  107      16         44          2          0        204         10         18
  108      23          1          1         51        132         10         15
  109      26          3          1         51        120         10         15
  110      57         22          7        139        202         10          4
  111      43         51          1          0        204         10          1
  112      44         51          2          0        204         10          1
  113      14         34          2          0        199         10          5
  114      13         13          1          0        187         10         14
  115      41         20          1          0        201         10         21
  116      52         47          1          0        197         10          3
  117      19         31          1          0        199         10          5
  118      64         19          1        156        297         10         25
  119      16         62          1         57        145         10         11
  120      18         10          2          0        187         10         14
  121      30         26         11        149        228         10         13
  122      67         20          1        156        220         10         25
  123      20         42          1          0        204         10         18
  124      51          4          3         58        121         10         23
