R109_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10        133        198         10   
    2      35         17          7         22         87         10   
    3      55         45         13         98        143         10   
    4      55         20         19        123        184         10   
    5      15         30         26         20         93         10   
    6      25         30          3         76        131         10   
    7      20         50          5         61        110         10   
    8      10         43          9         75        124         10   
    9      55         60         16         74        129         10   
   10      30         60         16        107        150         10   
   11      20         65         12         42        101         10   
   12      50         35         19         38         97         10   
   13      30         25         23        131        196         10   
   14      15         10         20         32        114         10   
   15      30          5          8         35         96         10   
   16      10         20         19         52        107         10   
   17       5         30          2        124        189         10   
   18      20         40         12         69        114         10   
   19      15         60         17         52        109         10   
   20      45         65          9        105        156         10   
   21      45         20         11         37         96         10   
   22      45         10         18         76        127         10   
   23      55          5         29         43        102         10   
   24      65         35          3        124        190         10   
   25      65         20          6        121        186         10   
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      42         48          2        133        414         10          1
    1      36         15          1         22        171         10          2
    2      59         43          7         98        206         10          3
    3      52         18         12        123        410         10          4
    4      20         26          1         20        236         10          5
    5      20         33          1         76        336         10          6
    6      20         51          1         61        197         10          7
    7      13         42          4         75        323         10          8
    8      54         63          2         74        357         10          9
    9      25         57          8        107        269         10         10
   10      21         65         10         42        137         10         11
   11      51         32          1         38        113         10         12
   12      23         23         17        131        366         10         13
   13      15         11          1         32        246         10         14
   14      25          5          2         35        124         10         15
   15      10         18          3         52        158         10         16
   16       2         31          1        124        356         10         17
   17      14         36          2         69        390         10         18
   18      19         61         11         52        276         10         19
   19      48         57          1        105        238         10         20
   20      43         19          7         37        288         10         21
   21      46         12         11         76        194         10         22
   22      55          3          2         43        202         10         23
   23      64         36          1        124        201         10         24
   24      63         20          2        121        244         10         25
   25      61         19          1        121        343         10         25
   26      28         24          2        131        260         10         13
   27      51         30         10         38        179         10         12
   28      15         10          2         32        106         10         14
   29      49          4          1         76        357         10         22
   30      53         40          2         98        195         10          3
   31       7         45          1         75        174         10          8
   32      29         28          1         76        257         10          6
   33      52          2          6         43        309         10         23
   34      38         55          5        133        224         10          1
   35      16          7          9         32        210         10         14
   36      23         58          1         42        277         10         11
   37      30         61          2        107        320         10         10
   38      55         36          3         38        276         10         12
   39      10         21          5         52        129         10         16
   40      13         22          3         52        277         10         16
   41      19         52          1         61        248         10          7
   42      12         18          3         52        230         10         16
   43       9         42          1         75        157         10          8
   44      54         19          3        123        338         10          4
   45      39         19          1         22        149         10          2
   46      31         30          1        131        430         10         13
   47      22         63          1         42        183         10         11
   48      12         54          2         52        151         10         19
   49      10          7          2         32        197         10         14
   50      28         25          1        131        304         10         13
   51      24         30          1         76        348         10          6
   52      59         20          2        123        273         10          4
   53      34         15          1         22        200         10          2
   54       8         59          1         52        376         10         19
   55      50         45          1         98        341         10          3
   56      50         29          2         38        295         10         12
   57      52         45          1         98        321         10          3
   58      11         31          6         20         98         10          5
   59       0         41          1         75        264         10          8
   60       3         19          3         52        216         10         16
   61      43         65          2        105        298         10         20
   62      25         45          3         69        305         10         18
   63       6         25          1        124        241         10         17
   64      14         42          1         61        247         10          7
   65      42         68          2        105        409         10         20
   66      31          3          3         35        192         10         15
   67      38          7          3         76        379         10         22
   68      23         53          1         61        181         10          7
   69      12         41          1         75        312         10          8
   70      63         21          1        121        341         10         25
   71      18         60          1         52        197         10         19
   72      28         57          1        107        250         10         10
   73      54         37          1         38        342         10         12
   74      66         37          1        124        355         10         24
   75      20         40          1         69        307         10         18
   76      37         17          1         22        229         10          2
   77      28         63          2        107        276         10         10
   78      43         49          1        133        362         10          1
   79      38         24          1         22        144         10          2
   80      47         20          1         37        109         10         21
   81      22         39          3         69        362         10         18
   82      33         12          1         22        140         10          2
   83      39         61          2        105        415         10         20
   84      49         47          1         98        376         10          3
   85      11         30         10         20        142         10          5
   86       5         46          1         75        366         10          8
   87      44         62          1        105        335         10         20
   88      24         62          1        107        371         10         10
   89      64         22          1        121        228         10         25
   90      45         65          1        105        276         10         20
   91      18         20          1         52        299         10         16
   92      31         18          1         22        332         10          2
   93      57          4         21         43        276         10         23
   94      63         19          1        121        271         10         25
   95      55         21          1        123        307         10          4
   96      59         53         11         74        298         10          9
   97      47         37          1         38        160         10         12
   98      19         49          1         61        277         10          7
   99      46         35          1         38        204         10         12
  100      45         18          1         37        183         10         21
  101      11          9          3         32        178         10         14
  102      31         22          1        131        416         10         13
  103      42         11          1         76        237         10         22
  104      16         58          2         52        328         10         19
  105      28         60          1        107        401         10         10
  106      14         15          2         32        193         10         14
  107      44         47          2        133        273         10          1
  108       9         17          1         52        322         10         16
  109      51         14          1        123        261         10          4
  110      58         47          1         98        274         10          3
  111      43         13          1         76        374         10         22
  112      47         17          2         37        318         10         21
  113      19         12          1         32        258         10         14
  114      30         21          1        131        211         10         13
  115      38         12          1         76        302         10         22
  116      12         25          9         20        251         10          5
  117      16         43          2         69        368         10         18
  118      33         58          1        107        237         10         10
  119      53         62          1         74        147         10          9
  120      27          0          2         35        234         10         15
  121      64         35          1        124        406         10         24
  122      26          3          1         35        319         10         15
  123      21         37          1         69        167         10         18
  124      58         58          2         74        268         10          9
