R110_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10        130        201         10   
    2      35         17          7         20         89         10   
    3      55         45         13        106        135         10   
    4      55         20         19         71        195         10   
    5      15         30         26         20        107         10   
    6      25         30          3         54        153         10   
    7      20         50          5         66        105         10   
    8      10         43          9         61        138         10   
    9      55         60         16         53        150         10   
   10      30         60         16        101        156         10   
   11      20         65         12         33        152         10   
   12      50         35         19         38         97         10   
   13      30         25         23         70        208         10   
   14      15         10         20         32        137         10   
   15      30          5          8         30        154         10   
   16      10         20         19         54        105         10   
   17       5         30          2         51        189         10   
   18      20         40         12         77        106         10   
   19      15         60         17         53        108         10   
   20      45         65          9        109        152         10   
   21      45         20         11         37         96         10   
   22      45         10         18         59        144         10   
   23      55          5         29         36        155         10   
   24      65         35          3        118        190         10   
   25      65         20          6         47        186         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      42         50          1        130        462         10          1
    1      33         19          1         20        286         10          2
    2      50         46          8        106        539         10          3
    3      51         21         15         71        222         10          4
    4      19         29         20         20        324         10          5
    5      24         35          1         54        355         10          6
    6      18         54          1         66        369         10          7
    7       9         44          1         61        246         10          8
    8      55         59         12         53        419         10          9
    9      25         61          4        101        305         10         10
   10      24         67          5         33        187         10         11
   11      48         35         16         38        461         10         12
   12      30         28         14         70        358         10         13
   13      14         12         10         32        328         10         14
   14      33          5          5         30        161         10         15
   15       7         23         11         54        297         10         16
   16       5         27          1         51        422         10         17
   17      25         42          2         77        474         10         18
   18      17         61          2         53        195         10         19
   19      45         67          3        109        534         10         20
   20      44         22          5         37        257         10         21
   21      46          6         10         59        457         10         22
   22      56          3         22         36        318         10         23
   23      66         33          1        118        324         10         24
   24      62         21          1         47        200         10         25
   25      57         23          2         71        298         10          4
   26       0         31          1         51        332         10         17
   27      20         40          5         77        283         10         18
   28       6         18          1         54        276         10         16
   29      15         32          1         20        176         10          5
   30      22         27          1         54        464         10          6
   31      66         37          1        118        354         10         24
   32      34         21          1         20        267         10          2
   33      19         35          1         77        325         10         18
   34      32         24          1         70        232         10         13
   35      58          3          2         36        422         10         23
   36      13         31          1         20        184         10          5
   37       8         24          7         54        190         10         16
   38      29         30          4         70        479         10         13
   39      22         50          1         66        346         10          7
   40      63         21          1         47        465         10         25
   41      48         16          2         71        506         10          4
   42      38          7          1         59        384         10         22
   43      23         51          1         66        318         10          7
   44      34         13          1         20        226         10          2
   45      63         35          1        118        393         10         24
   46      58         56          1         53        405         10          9
   47      29          8          2         30        220         10         15
   48      48          6          2         59        240         10         22
   49      24         55          6        101        331         10         10
   50      45         63          3        109        230         10         20
   51      30         24          1         70        267         10         13
   52      32          1          1         30        288         10         15
   53      27         22          1         54        283         10          6
   54      18         65          2         33        219         10         11
   55      56          6          1         36        186         10         23
   56      48         35          1         38        205         10         12
   57      30         58          2        101        451         10         10
   58      48         38          2         38        446         10         12
   59      30         22          1         70        356         10         13
   60      42         51          4        130        237         10          1
   61      32         24          1         70        193         10         13
   62      59         61          1         53        211         10          9
   63      53          2          1         36        289         10         23
   64      62         19          1         47        369         10         25
   65      22         66          1         33        162         10         11
   66      54          2          1         36        159         10         23
   67      16         49          1         66        293         10          7
   68      47         24          1         37        227         10         21
   69      53         41          2        106        395         10          3
   70      15         27          1         20        432         10          5
   71      18         60          1         53        400         10         19
   72      33         11          1         20        236         10          2
   73      59          6          1         36        195         10         23
   74      67         16          1         47        454         10         25
   75      19         10          5         32        433         10         14
   76      57         60          1         53        218         10          9
   77      17         48          1         66        395         10          7
   78      24         44          1         77        230         10         18
   79      62          7          1         36        334         10         23
   80      21         66          2         33        346         10         11
   81      16         38          1         77        462         10         18
   82      56         46          1        106        527         10          3
   83      50         16          1         37        346         10         21
   84      43         18          1         37        282         10         21
   85      30         17          1         20        447         10          2
   86      10         41          4         61        173         10          8
   87      15         28          1         20        352         10          5
   88      33         15          1         20        273         10          2
   89      29         61          1        101        453         10         10
   90      30         25          1         70        208         10         13
   91      45         24          1         37        200         10         21
   92      18         41          2         61        278         10          8
   93      14         54          8         53        465         10         19
   94      64         25          1         47        234         10         25
   95      34         49          1        130        297         10          1
   96      15         10          2         32        304         10         14
   97      18         60          1         53        376         10         19
   98      52         43          1        106        397         10          3
   99      49         12          1         59        445         10         22
  100      20         40          1         77        370         10         18
  101      45          9          2         59        368         10         22
  102      16         32          1         20        175         10          5
  103      14         12          1         32        393         10         14
  104      17         31          1         20        420         10          5
  105      41         47          1        130        347         10          1
  106      17         61          2         53        409         10         19
  107      43         52          3        130        520         10          1
  108      30         63          1        101        272         10         10
  109      60         61          1         53        196         10          9
  110      32         14          1         20        346         10          2
  111      50         52          1        106        386         10          3
  112      45         60          1        109        232         10         20
  113      17         65          2         33        162         10         11
  114      44         10          1         59        204         10         22
  115      63         23          1         47        166         10         25
  116      46         11          1         59        280         10         22
  117      46         21          1         37        380         10         21
  118       7         43          2         61        483         10          8
  119      18         41          1         77        452         10         18
  120      45         15          1         37        196         10         21
  121      12          8          2         32        251         10         14
  122      48         62          2        109        501         10         20
  123      34         60          2        101        305         10         10
  124      13         59          3         53        278         10         19
