R111_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10         15        204         10   
    2      35         17          7         18        202         10   
    3      55         45         13         54        187         10   
    4      55         20         19        138        169         10   
    5      15         30         26         20        199         10   
    6      25         30          3         76        131         10   
    7      20         50          5         21        170         10   
    8      10         43          9         87        112         10   
    9      55         60         16         88        115         10   
   10      30         60         16        107        150         10   
   11      20         65         12         57         86         10   
   12      50         35         19         15        192         10   
   13      30         25         23        147        180         10   
   14      15         10         20         32        187         10   
   15      30          5          8         50         81         10   
   16      10         20         19         29        139         10   
   17       5         30          2        124        189         10   
   18      20         40         12         47        136         10   
   19      15         60         17         32        146         10   
   20      45         65          9         79        182         10   
   21      45         20         11         18        195         10   
   22      45         10         18         76        127         10   
   23      55          5         29         58         87         10   
   24      65         35          3         58        190         10   
   25      65         20          6        153        186         10   
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      41         46          1         15        148         10          1
    1      38         18          1         18        216         10          2
    2      59         41          3         54        253         10          3
    3      55         19         14        138        481         10          4
    4      13         27         23         20        336         10          5
    5      21         31          1         76        416         10          6
    6      16         46          1         21        262         10          7
    7      13         41          6         87        448         10          8
    8      47         62          7         88        422         10          9
    9      31         58          1        107        252         10         10
   10      21         63          8         57        336         10         11
   11      51         42         10         15        346         10         12
   12      26         26         11        147        301         10         13
   13      14          4          6         32        181         10         14
   14      31          2          8         50        177         10         15
   15       6         16         11         29        282         10         16
   16       8         32          1        124        471         10         17
   17      16         42          3         47        483         10         18
   18      12         59         11         32        474         10         19
   19      44         67          1         79        218         10         20
   20      46         19          5         18        340         10         21
   21      43         10          5         76        244         10         22
   22      51          3         17         58        204         10         23
   23      65         39          1         58        431         10         24
   24      65         20          1        153        295         10         25
   25      28         30          1         76        199         10          6
   26      16         60          1         32        164         10         19
   27      44         61          1         79        409         10         20
   28      42         20          1         18        275         10         21
   29      41         18          1         18        480         10         21
   30      53         42          5         54        338         10          3
   31      47         35          1         15        233         10         12
   32       5         28          1        124        599         10         17
   33      19         53          1         32        468         10         19
   34      38         18          2         18        198         10          2
   35      13         49          1         87        479         10          8
   36      32         53          8        107        385         10         10
   37      67         21          1        153        517         10         25
   38      41          9         11         76        495         10         22
   39      20         32          1         76        523         10          6
   40      35         14          1         18        253         10          2
   41      53         16          4        138        589         10          4
   42      24         65          1         57        223         10         11
   43      20         40          2         47        472         10         18
   44      54         59          2         88        386         10          9
   45      51         35          2         15        341         10         12
   46      52         16          1        138        528         10          4
   47      16         44          3         47        242         10         18
   48      19         68          1         57        449         10         11
   49      47         41          1         54        301         10          3
   50      19         66          1         57        165         10         11
   51      23         54          1         21        323         10          7
   52      33         16          1         18        182         10          2
   53      21         13          4         32        158         10         14
   54      56         40          1         54        530         10          3
   55      58         58          2         88        368         10          9
   56      67         18          1        153        584         10         25
   57      40         47          3         15        149         10          1
   58      45         46          1         54        397         10          3
   59      54         46          1         54        401         10          3
   60      43         31          2         15        433         10         12
   61      57          9          4         58        387         10         23
   62      44         49          1         15        147         10          1
   63      15         52          2         21        373         10          7
   64      49         32          1         15        236         10         12
   65      26         56          1        107        529         10         10
   66      42         49          1         15        450         10          1
   67      17         37          1         47        344         10         18
   68      61         46          1         54        499         10          3
   69      50         60          2         88        307         10          9
   70      26         20          4        147        558         10         13
   71      20         62          1         32        278         10         19
   72      36         20          1         18        308         10          2
   73      41         44          2         15        193         10          1
   74      48         68          3         79        396         10         20
   75      59         60          1         88        491         10          9
   76      11         10          6         32        353         10         14
   77      25         54          1         21        469         10          7
   78      26         56          2        107        458         10         10
   79      45         64          1         79        326         10         20
   80      22         57          1        107        487         10         10
   81      18         41          1         47        338         10         18
   82       6         19          1         29        153         10         16
   83      67         37          1         58        521         10         24
   84      10          7          1         32        462         10         14
   85      70         30          1         58        217         10         24
   86      18         43          1         47        285         10         18
   87      12         55          1         32        354         10         19
   88      21         44          1         47        198         10         18
   89       7         24          1         29        429         10         16
   90      44         24          1         18        227         10         21
   91      10         42          1         87        498         10          8
   92      26         26          5        147        607         10         13
   93      18         57          1         32        268         10         19
   94      50         20          1         18        321         10         21
   95      56          8          2         58        202         10         23
   96      42         61          1         79        526         10         20
   97      19         57          1         32        201         10         19
   98      40         17          1         18        257         10         21
   99      54         60          1         88        474         10          9
  100      49         39          2         15        253         10         12
  101      55         56          1         88        429         10          9
  102      45         22          1         18        429         10         21
  103      67         21          1        153        337         10         25
  104      31         25          1        147        604         10         13
  105      30         60          1        107        509         10         10
  106      36         47          1         15        422         10          1
  107      32         24          1        147        288         10         13
  108      40         11          2         76        524         10         22
  109      66         20          2        153        373         10         25
  110      22         61          1         57        178         10         11
  111      18          9          1         32        487         10         14
  112      17         10          1         32        265         10         14
  113      15          9          1         32        503         10         14
  114      43         64          2         79        465         10         20
  115      12         31          3         20        128         10          5
  116      30         22          1        147        255         10         13
  117      10         41          1         87        233         10          8
  118      29         67          2        107        281         10         10
  119      41         45          1         15        314         10          1
  120       9         22          3         29        369         10         16
  121      50         37          1         15        460         10         12
  122       8         21          3         29        319         10         16
  123      37         21          1         18        288         10          2
  124      56          5          6         58        322         10         23
