R112_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10         73        204         10   
    2      35         17          7         18        147         10   
    3      55         45         13         76        165         10   
    4      55         20         19         73        195         10   
    5      15         30         26         20        167         10   
    6      25         30          3         49        158         10   
    7      20         50          5         36        135         10   
    8      10         43          9         50        149         10   
    9      55         60         16         47        156         10   
   10      30         60         16         85        172         10   
   11      20         65         12         33        152         10   
   12      50         35         19         15        133         10   
   13      30         25         23         79        208         10   
   14      15         10         20         32        187         10   
   15      30          5          8         30        152         10   
   16      10         20         19         29        139         10   
   17       5         30          2         60        189         10   
   18      20         40         12         47        136         10   
   19      15         60         17         32        146         10   
   20      45         65          9         79        182         10   
   21      45         20         11         18        136         10   
   22      45         10         18         50        153         10   
   23      55          5         29         36        155         10   
   24      65         35          3         58        190         10   
   25      65         20          6         56        186         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      38         50          4         73        287         10          1
    1      35         14          3         18        283         10          2
    2      54         44          2         76        294         10          3
    3      50         24          2         73        583         10          4
    4      16         29         20         20        379         10          5
    5      17         24          1         49        432         10          6
    6      17         55          1         36        361         10          7
    7      13         34          6         50        315         10          8
    8      52         60          8         47        203         10          9
    9      23         67          9         85        346         10         10
   10      19         64          5         33        424         10         11
   11      51         36          6         15        543         10         12
   12      33         19         13         79        332         10         13
   13      13          5          4         32        175         10         14
   14      29          5          1         30        346         10         15
   15       6         20         15         29        314         10         16
   16       3         24          1         60        557         10         17
   17      24         40          1         47        208         10         18
   18      12         59          9         32        525         10         19
   19      46         64          3         79        296         10         20
   20      46         19          5         18        311         10         21
   21      43          9         11         50        332         10         22
   22      52          3         12         36        368         10         23
   23      60         36          1         58        549         10         24
   24      60         22          1         56        448         10         25
   25      25         30          1         79        670         10         13
   26       9         30          1         60        314         10         17
   27      17         28          1         20        469         10          5
   28      62         43          8         76        358         10          3
   29      25         23          1         79        612         10         13
   30       6         43          3         50        454         10          8
   31      53         29          5         15        369         10         12
   32      21         52          1         36        353         10          7
   33      57         47          1         76        449         10          3
   34      20         51          2         36        264         10          7
   35      43         62          5         79        610         10         20
   36      38          6          3         50        520         10         22
   37      23         30          1         49        521         10          6
   38      51         58          4         47        489         10          9
   39      45         19          1         18        381         10         21
   40      19         31          1         49        204         10          6
   41      39         51          1         73        281         10          1
   42      25         61          2         85        366         10         10
   43      49         70          1         79        579         10         20
   44      15          0          4         32        421         10         14
   45      23         37          6         47        452         10         18
   46      29         60          1         85        617         10         10
   47      19         68          2         33        615         10         11
   48      64         21          1         56        360         10         25
   49      10         26          1         29        394         10         16
   50      63         19          1         56        621         10         25
   51      29         59          1         85        344         10         10
   52      43          6          1         50        212         10         22
   53      47         10          1         50        635         10         22
   54      10          9          5         32        179         10         14
   55      16          8          4         32        472         10         14
   56       8         14          1         29        204         10         16
   57      25         24          2         79        395         10         13
   58      32          5          1         30        444         10         15
   59      13         29          1         20        366         10          5
   60      35         16          1         18        279         10          2
   61      55         18          1         18        443         10         21
   62      10         14          1         29        630         10         16
   63      39         50          1         73        413         10          1
   64      20         58          1         32        596         10         19
   65      46         34          2         15        440         10         12
   66      53         54          1         47        616         10          9
   67      14          6          1         32        198         10         14
   68      18         65          4         32        383         10         19
   69      59         22          9         73        600         10          4
   70      52         19          4         73        315         10          4
   71      11         54          2         32        572         10         19
   72      51         34          3         15        413         10         12
   73      24          5          3         30        192         10         15
   74      67         32          1         58        235         10         24
   75      24         63          3         33        414         10         11
   76      32         13          1         18        509         10          2
   77      57         56          1         47        515         10          9
   78      57          6          5         36        461         10         23
   79      48         11          1         50        601         10         22
   80      70         22          1         56        228         10         25
   81      32         57          1         85        459         10         10
   82      50         14          1         18        406         10         21
   83      48         39          1         15        381         10         12
   84      47         35          1         15        532         10         12
   85      42         51          1         73        324         10          1
   86      13          7          1         32        428         10         14
   87      54         41          1         76        272         10          3
   88      52         35          1         15        338         10         12
   89      40         18          1         18        522         10         21
   90      56         21          2         73        282         10          4
   91      39         19          1         18        372         10          2
   92      59         22          1         73        566         10          4
   93      36         21          1         18        178         10          2
   94      23         63          1         85        420         10         10
   95      55         20          1         73        496         10          4
   96      40         11          1         50        471         10         22
   97      43         22          1         18        396         10         21
   98      49         53          1         76        697         10          3
   99      31         54          1         85        459         10         10
  100      21         45          2         47        270         10         18
  101      12         62          1         32        178         10         19
  102      40         48          1         73        212         10          1
  103      16         19          1         29        479         10         16
  104      53          3          8         36        254         10         23
  105      38         44          1         73        664         10          1
  106      56          1          4         36        416         10         23
  107      28         23          6         79        255         10         13
  108      20         65          1         33        281         10         11
  109      20         49          1         36        538         10          7
  110      55         55          1         47        403         10          9
  111      18         34          1         20        425         10          5
  112      60         36          1         58        555         10         24
  113      52         18          1         18        517         10         21
  114       9         28          1         20        241         10          5
  115      48         50          1         73        533         10          1
  116      56         59          1         47        402         10          9
  117      30          6          1         30        590         10         15
  118      21         61          1         33        209         10         11
  119      65         15          1         56        428         10         25
  120      30          6          2         30        313         10         15
  121      13          8          1         32        163         10         14
  122      20         44          3         47        296         10         18
  123      11         26          2         20        474         10          5
  124      65         19          1         56        321         10         25
