RC101_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20        145        175         10   
    2      22         75         30         50         80         10   
    3      22         85         10        109        139         10   
    4      20         80         40        141        171         10   
    5      20         85         20         41         71         10   
    6      18         75         20         95        125         10   
    7      15         75         20         79        109         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30        119        149         10   
   11       8         40         40         59         89         10   
   12       8         45         20         64         94         10   
   13       5         35         10        142        172         10   
   14       5         45         10         35         65         10   
   15       2         40         20         58         88         10   
   16       0         40         20         72        102         10   
   17       0         45         20        149        179         10   
   18      44          5         20         87        117         10   
   19      42         10         40         72        102         10   
   20      42         15         10        122        152         10   
   21      40          5         10         67         97         10   
   22      40         15         40         92        122         10   
   23      38          5         30         65         95         10   
   24      38         15         10        148        178         10   
   25      35          5         20        154        184         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      25         87          4        145        252         10          1
    1      23         76         24         50        100         10          2
    2      20         84          1        109        237         10          3
    3      19         79         35        141        191         10          4
    4      12         83         15         41        127         10          5
    5      14         77         14         95        211         10          6
    6      16         75          9         79        178         10          7
    7      21         79          3         91        242         10          8
    8       7         39         11         91        231         10          9
    9      11         39         20        119        197         10         10
   10       3         41         12         59        203         10         11
   11       8         45         14         64        188         10         12
   12       7         35          2        142        259         10         13
   13       0         41          6         35        118         10         14
   14       0         44         14         58        145         10         15
   15      -1         37          1         72        174         10         16
   16       3         45         12        149        308         10         17
   17      41          6         10         87        226         10         18
   18      44          9         13         72        226         10         19
   19      45         14          5        122        197         10         20
   20      39          1          6         67        168         10         21
   21      39          6         13         92        207         10         22
   22      37          5         22         65        118         10         23
   23      38         13          5        148        291         10         24
   24      33          4         15        154        201         10         25
   25      35          8          3        154        278         10         25
   26      38          8          1         65        222         10         23
   27      23         86          3        145        277         10          1
   28       6         37          3         91        167         10          9
   29      14         37          2        119        256         10         10
   30       1         38          8         72        138         10         16
   31       2         46          2        149        265         10         17
   32       4         32          8        142        281         10         13
   33      40         13          8         72        154         10         19
   34      12         84          1         41        191         10          5
   35      -3         46          2        149        313         10         17
   36      41          7          1         67        109         10         21
   37      24         83          2        145        230         10          1
   38      19         88          2        109        189         10          3
   39      22         88          6        109        264         10          3
   40       4         38          5         72        210         10         16
   41      16         68          1         95        196         10          6
   42      46          2          6         87        204         10         18
   43      16         80          1         95        157         10          6
   44      23         82          7        145        260         10          1
   45       7         38          3        119        245         10         10
   46      41         16          5        148        203         10         24
   47      33          5          1        154        251         10         25
   48       8         45          1         64        193         10         12
   49      42          3          2         87        160         10         18
   50      13         43          1         64        133         10         12
   51      18         75         11         79        129         10          7
   52      40         14          1        122        172         10         20
   53      36          8          1        154        271         10         25
   54       8         44          1         64        181         10         12
   55      26         85          2        145        264         10          1
   56       4         37          1         58        111         10         15
   57      20         86          2         41        190         10          5
   58       2         34          1         58        151         10         15
   59      42          9          4         72        141         10         19
   60      19         82          1         91        196         10          8
   61      48         10          2         72        153         10         19
   62      38          0          1         67        171         10         21
   63       7         39          2        119        186         10         10
   64      42          8          1         87        199         10         18
   65      11         50          1         64        205         10         12
   66       6         42         16         59        219         10         11
   67      16         74          1         95        149         10          6
   68      37          4          2         65        170         10         23
   69       1         46          1        149        222         10         17
   70      15         76          2         91        170         10          8
   71      25         87          1        145        270         10          1
   72      38          4          2         65        193         10         23
   73      16         77          1         91        211         10          8
   74      20         84          1        109        202         10          3
   75      18         83          1        141        219         10          4
   76      14         81          2         91        161         10          8
   77      17         78          2        141        286         10          4
   78       8         30          1         91        226         10          9
   79       7         37          8         59        190         10         11
   80      22         82          2         50        159         10          2
   81       7         37          2         59        166         10         11
   82      39         17          2        122        199         10         20
   83       3         44          2         35        171         10         14
   84       7         47          1         64        116         10         12
   85      -2         36          1         72        213         10         16
   86       9         36          2         91        197         10          9
   87      35          5          1         65        132         10         23
   88       0         43          1        149        196         10         17
   89      20         74          1         95        247         10          6
   90      24         82          1        141        196         10          4
   91      23         87          1        145        217         10          1
   92      41         17         12         92        174         10         22
   93      11         33          1         91        195         10          9
   94       6         41          3         58        190         10         15
   95      37          9          1         65        230         10         23
   96      17         38          2        119        223         10         10
   97       2         43          1        149        241         10         17
   98      23         77          1        141        247         10          4
   99      15         73          1         95        153         10          6
  100      25         75          1         95        264         10          6
  101      -1         43          1         58        136         10         15
  102      19         85          1         41        149         10          5
  103       9         39          1        119        210         10         10
  104      40         17         13         92        176         10         22
  105      17         83          1         91        170         10          8
  106      37          6          2         92        205         10         22
  107       0         41          3         72        222         10         16
  108       5         46          1         35        134         10         14
  109       9         31          1         91        213         10          9
  110      10         39          1         59        122         10         11
  111      22         89          1         41        190         10          5
  112       7         39          1         91        209         10          9
  113      43          8          1         67        214         10         21
  114       9         44          1         35        100         10         14
  115      37          2          1         65        119         10         23
  116      40          7          1         67        179         10         21
  117       0         37          2         72        119         10         16
  118       9         41          1         59        127         10         11
  119      44          5          1         87        235         10         18
  120      45         13          2        122        286         10         20
  121       6         44          1         64        169         10         12
  122      22         70          4         50        216         10          2
  123       0         42          1        149        303         10         17
  124      41         10         13         72        171         10         19
