RC102_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20          0        191         10   
    2      22         75         30          0        199         10   
    3      22         85         10          0        190         10   
    4      20         80         40        141        171         10   
    5      20         85         20          0        189         10   
    6      18         75         20         95        125         10   
    7      15         75         20          0        194         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30        119        149         10   
   11       8         40         40         59         89         10   
   12       8         45         20          0        197         10   
   13       5         35         10        142        172         10   
   14       5         45         10         35         65         10   
   15       2         40         20         58         88         10   
   16       0         40         20         72        102         10   
   17       0         45         20        149        179         10   
   18      44          5         20         87        117         10   
   19      42         10         40         72        102         10   
   20      42         15         10        122        152         10   
   21      40          5         10          0        185         10   
   22      40         15         40         92        122         10   
   23      38          5         30         65         95         10   
   24      38         15         10        148        178         10   
   25      35          5         20        154        184         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      30         84          2          0        191         10          1
    1      20         78         13          0        199         10          2
    2      22         86          1          0        190         10          3
    3      23         83         18        141        292         10          4
    4      19         85          8          0        189         10          5
    5      20         76          4         95        174         10          6
    6      10         80         14          0        194         10          7
    7       9         83          3         91        247         10          8
    8      10         31          7         91        230         10          9
    9       8         40         13        119        184         10         10
   10       8         43         15         59        215         10         11
   11       8         44         12          0        197         10         12
   12       4         35         10        142        273         10         13
   13       7         46          2         35         91         10         14
   14       4         39          1         58        194         10         15
   15       7         39          9         72        159         10         16
   16       0         41         18        149        305         10         17
   17      43          3          6         87        247         10         18
   18      38         17          1         72        236         10         19
   19      39         18          6        122        191         10         20
   20      41          5          2          0        185         10         21
   21      36         13         24         92        171         10         22
   22      34          9         24         65        146         10         23
   23      33         15          3        148        209         10         24
   24      36          8         14        154        285         10         25
   25      38         10          1        122        262         10         20
   26      35          6          2        154        256         10         25
   27       5         42         19         59        196         10         11
   28       9         33          1         59        197         10         11
   29      18         77         17        141        271         10          4
   30       0         38          2         58        197         10         15
   31       9         38         13        119        249         10         10
   32      26         79          4        141        303         10          4
   33      19         81         13          0        191         10          1
   34      23         80          1        141        299         10          4
   35      38          6          3          0        185         10         21
   36      12         40          2         59        176         10         11
   37      14         32         13         91        195         10          9
   38       9         42          3          0        197         10         12
   39      -2         39          6         72        194         10         16
   40      -1         38          3         72        139         10         16
   41      11         40          1         59        157         10         11
   42      14         87          1         91        193         10          8
   43      40         18          7         92        155         10         22
   44       9         39          1         59        134         10         11
   45      36          6          1        154        301         10         25
   46       6         44          3         35         79         10         14
   47       4         46          1          0        197         10         12
   48      16         85          9          0        189         10          5
   49      22         92          3          0        190         10          3
   50      10         41          1        119        164         10         10
   51      12         75          4         95        274         10          6
   52       3         47          1         35         95         10         14
   53      17         73          1         95        150         10          6
   54       6         45          1         35         92         10         14
   55      11         47          1          0        197         10         12
   56       6         42          1          0        197         10         12
   57      36          6          1         65        124         10         23
   58       3         46          1        149        206         10         17
   59      37          6          1        154        274         10         25
   60      34          8          1         92        195         10         22
   61       3         38          4         58        107         10         15
   62      38         18          3        148        258         10         24
   63      20         70          2          0        194         10          7
   64       4         40          1         72        124         10         16
   65      18         72         12          0        199         10          2
   66      23         84          4          0        190         10          3
   67      43         13          1        148        235         10         24
   68      37         17          1        148        229         10         24
   69      39          4          1          0        185         10         21
   70      43          5         12         87        145         10         18
   71       5         39          2         58        126         10         15
   72      22         80          1          0        190         10          3
   73      19         76         10         95        179         10          6
   74       2         45          1         35        114         10         14
   75       1         34          4         58        130         10         15
   76      27         81          4          0        191         10          1
   77      21         77          2         91        183         10          8
   78       6         40          1         58        140         10         15
   79       5         44          1          0        197         10         12
   80      14         78          1          0        194         10          7
   81      37         14          1        122        291         10         20
   82      20         76          2          0        194         10          7
   83      -1         43          1        149        300         10         17
   84       7         40          1         59        122         10         11
   85      43         15          1         92        196         10         22
   86      43         11          1        122        274         10         20
   87      19         72          2          0        199         10          2
   88      21         82          1          0        190         10          3
   89      39         11          1         92        148         10         22
   90      36         20          5         92        214         10         22
   91       8         48          1          0        197         10         12
   92      40         13          1         92        132         10         22
   93      17         77          1         91        172         10          8
   94      15         81          1         91        196         10          8
   95      38         10          1         65        126         10         23
   96      23         84          3          0        189         10          5
   97      40          4          1          0        185         10         21
   98      32          6          1         65        243         10         23
   99      18         80          1         91        159         10          8
  100      11         79          1         91        238         10          8
  101      -2         40          1         35        206         10         14
  102      19         79          1          0        194         10          7
  103       1         39          1         72        159         10         16
  104      36         13          1        148        273         10         24
  105       5         35          2        119        233         10         10
  106      41          3          1         87        225         10         18
  107      38         15          1        148        212         10         24
  108      41          3          1          0        185         10         21
  109      47          0          1         87        196         10         18
  110       1         47          1         35        154         10         14
  111      -1         42          6         58        181         10         15
  112      22         72          1         95        214         10          6
  113      33          2          1        154        278         10         25
  114      38          7          2          0        185         10         21
  115      35          5          1        154        218         10         25
  116      24         83          1          0        191         10          1
  117       9         37          1        119        268         10         10
  118      40          1          1         65        156         10         23
  119      23         74          3          0        199         10          2
  120      33          8         14         72        191         10         19
  121      44          4          1         65        196         10         23
  122      38          9         25         72        217         10         19
  123      43          7          1        122        277         10         20
  124      38          9          1         65        162         10         23
