RC103_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20          0        191         10   
    2      22         75         30          0        199         10   
    3      22         85         10          0        190         10   
    4      20         80         40        141        171         10   
    5      20         85         20          0        189         10   
    6      18         75         20         95        125         10   
    7      15         75         20          0        194         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30        119        149         10   
   11       8         40         40         59         89         10   
   12       8         45         20          0        197         10   
   13       5         35         10        142        172         10   
   14       5         45         10          0        194         10   
   15       2         40         20         58         88         10   
   16       0         40         20          0        188         10   
   17       0         45         20        149        179         10   
   18      44          5         20          0        184         10   
   19      42         10         40          0        189         10   
   20      42         15         10          0        194         10   
   21      40          5         10          0        185         10   
   22      40         15         40         92        122         10   
   23      38          5         30         65         95         10   
   24      38         15         10          0        194         10   
   25      35          5         20        154        184         10   
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      22         87         13          0        191         10          1
    1      23         75         24          0        199         10          2
    2      23         78          3          0        190         10          3
    3      17         79         32        141        290         10          4
    4      16         84          5          0        189         10          5
    5      16         72          3         95        156         10          6
    6      13         73         15          0        194         10          7
    7      15         77          5         91        224         10          8
    8       7         36          2         91        189         10          9
    9       9         38         12        119        188         10         10
   10       2         45         19         59        212         10         11
   11       4         44          8          0        197         10         12
   12       6         30          6        142        206         10         13
   13       3         45          1          0        194         10         14
   14       4         45          4         58        172         10         15
   15      -1         42         20          0        188         10         16
   16       0         48          9        149        196         10         17
   17      41          9          3          0        184         10         18
   18      40          7         36          0        189         10         19
   19      45         17          1          0        194         10         20
   20      40         10          3          0        185         10         21
   21      40         14         24         92        168         10         22
   22      38          4         20         65        120         10         23
   23      38         15          1          0        194         10         24
   24      35          4         19        154        275         10         25
   25      34          2          1          0        185         10         21
   26      20         76          1          0        199         10          2
   27      36         17          3          0        194         10         24
   28      40         15          1          0        194         10         20
   29      17         84          2          0        189         10          5
   30      40         17          5         92        162         10         22
   31      36          2          5         65        168         10         23
   32       8         32          4         91        246         10          9
   33      13         76          7         95        159         10          6
   34      43          0          9          0        184         10         18
   35      26         89          1          0        191         10          1
   36      34          5          1         65        221         10         23
   37      44         17          1          0        194         10         20
   38       4         38          4          0        194         10         14
   39      21         78          3        141        278         10          4
   40      18         90          2          0        190         10          3
   41       3         37         12         59        182         10         11
   42      11         43          7          0        197         10         12
   43      40         11          2         92        214         10         22
   44      38          4          2          0        184         10         18
   45      24         78          1          0        199         10          2
   46      42          8          2          0        189         10         19
   47      17         81          5        141        246         10          4
   48      21         86          2          0        190         10          3
   49      21         76          1          0        199         10          2
   50       9         39          1          0        197         10         12
   51      15         43          3        119        276         10         10
   52       8         33          4         91        241         10          9
   53      39          7          1         65        126         10         23
   54      41         16          6         92        244         10         22
   55      11         32          2         91        239         10          9
   56      41         13          3          0        194         10         20
   57      20         88          2          0        189         10          5
   58      13         40         12        119        269         10         10
   59      44         11          2         92        189         10         22
   60      10         77          2          0        194         10          7
   61      14         73          1          0        194         10          7
   62      11         36          1        119        207         10         10
   63      38         10          1          0        194         10         24
   64      20         75          1          0        199         10          2
   65      15         81          5          0        189         10          5
   66       3         35          5         58        184         10         15
   67      24         87          1          0        191         10          1
   68       1         45          3        149        278         10         17
   69      35          7          1        154        291         10         25
   70      10         32          1        119        306         10         10
   71      21         74          2         95        195         10          6
   72      23         74          1          0        199         10          2
   73      22         72          1          0        199         10          2
   74      41          6          2          0        189         10         19
   75       8         35          1         59        222         10         11
   76      22         84          3          0        189         10          5
   77      21         86          1          0        190         10          3
   78      21         76          4         95        164         10          6
   79      37          3          1         65        197         10         23
   80      26         86          3          0        191         10          1
   81       4         39          3         58        163         10         15
   82       4         35          4        142        196         10         13
   83       0         41          6         58        111         10         15
   84      42          4          2          0        184         10         18
   85      38          7          3          0        185         10         21
   86      17         77          1          0        194         10          7
   87       7         41          1        119        261         10         10
   88      16         85          1          0        189         10          5
   89       4         45          1          0        197         10         12
   90       7         46          1          0        197         10         12
   91      10         34          8         91        170         10          9
   92      23         77          1          0        191         10          1
   93       9         41          5         59        119         10         11
   94      48          9          2          0        184         10         18
   95       6         45          1          0        194         10         14
   96       0         44          1        149        296         10         17
   97       0         35          1         58        230         10         15
   98      24         86          1          0        190         10          3
   99      -2         44          1        149        243         10         17
  100      40         11          1          0        194         10         20
  101      20         76          2         95        174         10          6
  102      40         13          5          0        194         10         24
  103      41         15          1          0        194         10         20
  104      35          3          1         65        182         10         23
  105      36          3          3          0        185         10         21
  106      21         82          2          0        189         10          5
  107       9         46          1          0        197         10         12
  108       9         40          2         59        137         10         11
  109       4         40          1          0        197         10         12
  110      23         73          1         95        186         10          6
  111       0         36          1         58        221         10         15
  112      19         83          1          0        190         10          3
  113      36          7          1         65        187         10         23
  114      15         71          1         95        265         10          6
  115      12         70          5         91        210         10          8
  116      -1         43          5        149        231         10         17
  117       5         45          4          0        194         10         14
  118      18         70          1          0        194         10          7
  119      -2         47          1        149        272         10         17
  120       5         38          1         59        117         10         11
  121      43          8          2          0        194         10         20
  122      43          3          2          0        184         10         18
  123      25         86          1          0        191         10          1
  124      40         14          1         92        222         10         22
