RC104_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20          0        191         10   
    2      22         75         30          0        199         10   
    3      22         85         10          0        190         10   
    4      20         80         40        141        171         10   
    5      20         85         20          0        189         10   
    6      18         75         20          0        196         10   
    7      15         75         20          0        194         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30          0        198         10   
   11       8         40         40         59         89         10   
   12       8         45         20          0        197         10   
   13       5         35         10        142        172         10   
   14       5         45         10          0        194         10   
   15       2         40         20         58         88         10   
   16       0         40         20          0        188         10   
   17       0         45         20          0        189         10   
   18      44          5         20          0        184         10   
   19      42         10         40          0        189         10   
   20      42         15         10          0        194         10   
   21      40          5         10          0        185         10   
   22      40         15         40          0        195         10   
   23      38          5         30         65         95         10   
   24      38         15         10          0        194         10   
   25      35          5         20        154        184         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      21         87          5          0        191         10          1
    1      20         71         21          0        199         10          2
    2      24         83          3          0        190         10          3
    3      21         74         25        141        237         10          4
    4      20         83         19          0        189         10          5
    5      15         73         15          0        196         10          6
    6      22         77          3          0        194         10          7
    7      16         79          2         91        231         10          8
    8       7         35         17         91        238         10          9
    9       7         40          5          0        198         10         10
   10      11         42         29         59        163         10         11
   11       5         42         17          0        197         10         12
   12       2         40          4        142        320         10         13
   13       2         44          1          0        194         10         14
   14       0         37          5         58        220         10         15
   15       4         44          9          0        188         10         16
   16       0         46         10          0        189         10         17
   17      44          3          9          0        184         10         18
   18      39          6         28          0        189         10         19
   19      42          8          7          0        194         10         20
   20      41          1          1          0        185         10         21
   21      40          8         24          0        195         10         22
   22      38          5         15         65        155         10         23
   23      35         18          8          0        194         10         24
   24      37          5          6        154        226         10         25
   25      44         -5          2          0        185         10         21
   26      42          3          4          0        189         10         19
   27      22         83          1          0        189         10          5
   28       4         42          3         58        187         10         15
   29      26         87          5          0        191         10          1
   30       5         45          4          0        194         10         14
   31       3         35          1        142        268         10         13
   32       0         43          1          0        194         10         14
   33      43          9          8          0        195         10         22
   34      22         86          2          0        190         10          3
   35       3         39         11          0        188         10         16
   36      38         12          4          0        189         10         19
   37      10         80          2         91        253         10          8
   38       0         32          2        142        211         10         13
   39       0         46          1          0        189         10         17
   40      27         88          2          0        190         10          3
   41      39         15          4          0        195         10         22
   42      22         76          5          0        199         10          2
   43       7         44         11         59        132         10         11
   44      38          5         11         65        179         10         23
   45      42          4          3          0        184         10         18
   46       0         45          2          0        189         10         17
   47       3         45          2          0        197         10         12
   48      15         72          3          0        196         10          6
   49      17         79          8        141        218         10          4
   50       0         38          6         58        126         10         15
   51      44          9          4          0        184         10         18
   52      41         11          1          0        195         10         22
   53      38          5          1          0        185         10         21
   54      35          5          1        154        230         10         25
   55      14         77          9          0        194         10          7
   56      38          8          1          0        185         10         21
   57      -1         42          2          0        189         10         17
   58      15         84          1         91        256         10          8
   59      40         12          1          0        189         10         19
   60      35         18          1          0        194         10         24
   61      14         73          1          0        194         10          7
   62      44          4          1          0        184         10         18
   63      10         37          3          0        198         10         10
   64       3         35          2        142        284         10         13
   65      20         89          1          0        191         10          1
   66      29         80          5          0        191         10          1
   67      33          8          2        154        212         10         25
   68      49          8          1          0        184         10         18
   69       2         44          1          0        194         10         14
   70      39          7          3          0        185         10         21
   71      36          2          2         65        220         10         23
   72      41          3          1          0        185         10         21
   73      41          9          1          0        189         10         19
   74      42         13          2          0        194         10         20
   75      12         36          1         91        141         10          9
   76      -3         44          2          0        189         10         17
   77      12         38          5          0        198         10         10
   78      45          4          1          0        184         10         18
   79      41          6          1          0        184         10         18
   80      32          3          6        154        262         10         25
   81       3         45          6         58        231         10         15
   82      34          4          1        154        310         10         25
   83      40         10          1          0        194         10         24
   84      16         75          3          0        194         10          7
   85      21         72          2          0        194         10          7
   86      39          5          1          0        185         10         21
   87      41         13          1          0        194         10         20
   88      20         76          1         91        175         10          8
   89      45         16          1          0        195         10         22
   90      14         76          4         91        154         10          8
   91      10         39          1          0        194         10         14
   92      21         79          2        141        269         10          4
   93       6         31          1        142        200         10         13
   94       9         39         16          0        198         10         10
   95      37          8          1         65        198         10         23
   96      20         75          1          0        194         10          7
   97      -3         47          2          0        189         10         17
   98      10         38          1         91        152         10          9
   99      23         87          1          0        190         10          3
  100       9         32          1          0        198         10         10
  101       6         41          1          0        194         10         14
  102       4         43          1          0        194         10         14
  103      23         90          1          0        191         10          1
  104      38         11          1          0        195         10         22
  105      20         78          3        141        243         10          4
  106      -2         43          1          0        189         10         17
  107      31         82          2          0        191         10          1
  108      37         15          1          0        195         10         22
  109      23         78          1          0        199         10          2
  110      18         84          1        141        207         10          4
  111      46          6          1          0        189         10         19
  112       7         44          1          0        197         10         12
  113      40         14          1          0        189         10         19
  114      17         76          1          0        194         10          7
  115      23         82          1          0        191         10          1
  116      13         72          1          0        196         10          6
  117      33          3          4        154        219         10         25
  118      23         78          1        141        305         10          4
  119      23         75          1          0        199         10          2
  120      20         77          1          0        196         10          6
  121      22         87          2          0        190         10          3
  122      14         36          1         91        196         10          9
  123      39          5          1         65        211         10         23
  124      22         76          2          0        199         10          2
