RC105_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20         71        191         10   
    2      22         75         30         30        150         10   
    3      22         85         10         64        184         10   
    4      20         80         40        151        161         10   
    5      20         85         20         40        160         10   
    6      18         75         20         96        123         10   
    7      15         75         20         35        155         10   
    8      15         80         10        101        111         10   
    9      10         35         20        101        111         10   
   10      10         40         30        123        144         10   
   11       8         40         40         69         79         10   
   12       8         45         20         32        152         10   
   13       5         35         10        152        162         10   
   14       5         45         10         35        117         10   
   15       2         40         20         68         78         10   
   16       0         40         20         59        114         10   
   17       0         45         20        147        180         10   
   18      44          5         20         79        124         10   
   19      42         10         40         58        115         10   
   20      42         15         10        111        162         10   
   21      40          5         10         45        165         10   
   22      40         15         40         94        119         10   
   23      38          5         30         75         85         10   
   24      38         15         10        128        194         10   
   25      35          5         20        171        181         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      21         86         12         71        342         10          1
    1      23         73         23         30        259         10          2
    2      18         80          7         64        246         10          3
    3      16         78         19        151        431         10          4
    4      21         84          3         40        218         10          5
    5      16         74         11         96        314         10          6
    6      20         72         10         35        168         10          7
    7      13         80          3        101        377         10          8
    8      12         36         14        101        252         10          9
    9      16         39         25        123        273         10         10
   10       7         40         16         69        307         10         11
   11      11         44         17         32        291         10         12
   12       9         36          6        152        278         10         13
   13       6         39          2         35        291         10         14
   14       0         37          3         68        231         10         15
   15       0         43          1         59        133         10         16
   16       0         49          2        147        252         10         17
   17      43          0         11         79        278         10         18
   18      42         11         25         58        294         10         19
   19      40         12          9        111        363         10         20
   20      49          3          4         45        210         10         21
   21      41         10         20         94        303         10         22
   22      36          5         24         75        279         10         23
   23      39         12          4        128        388         10         24
   24      37          6          6        171        370         10         25
   25       4         39          1         35        194         10         14
   26      16         41          3        123        226         10         10
   27       1         34          7         59        237         10         16
   28      36          7         13        171        443         10         25
   29      42         12          7         94        366         10         22
   30      17         78          2         30        178         10          2
   31      40         16          7         94        255         10         22
   32      20         76          1         30         99         10          2
   33      39         10          9         58        241         10         19
   34       1         49          4         35        129         10         14
   35      10         71          4         96        275         10          6
   36      33          4          1        171        352         10         25
   37      17         81          2        101        279         10          8
   38      10         30          2        101        378         10          9
   39      21         84         15        151        281         10          4
   40       6         37          1        101        260         10          9
   41      20         76          1         30        118         10          2
   42      14         79          2         35        229         10          7
   43      44          9          1         79        237         10         18
   44       5         46          3         68        240         10         15
   45      40         14          3         58        214         10         19
   46       2         34          1        152        272         10         13
   47      38         17          3         94        198         10         22
   48      11         39          4         69        335         10         11
   49      17         76          4         35        110         10          7
   50      37          7          2         45        296         10         21
   51       6         42          1         69        183         10         11
   52       9         43          1         32        289         10         12
   53      39          9          2         75        266         10         23
   54       0         43         10         68        173         10         15
   55      11         76          1         35        328         10          7
   56      25         74          1         30        222         10          2
   57      37          7          1         94        408         10         22
   58      40          9          1         45        212         10         21
   59       7         34          1        123        285         10         10
   60      14         72          1         96        299         10          6
   61      16         85          7         40        140         10          5
   62      25         83          5         40        251         10          5
   63      14         74          1         35        140         10          7
   64      14         30          1        101        196         10          9
   65       9         35          1        152        377         10         13
   66      18         71          1         96        201         10          6
   67      23         82          2        151        401         10          4
   68      21         84          1         64        146         10          3
   69      39         11          4        128        238         10         24
   70      24         85          2         40        277         10          5
   71      10         41          1         32        132         10         12
   72      24         81          3         71        297         10          1
   73      43          5          2         75        210         10         23
   74      22         80          1         71        364         10          1
   75      12         71          1         35        155         10          7
   76       6         32          1        152        290         10         13
   77      26         71          1         30        289         10          2
   78      24         72          1         30        189         10          2
   79       0         36         12         59        343         10         16
   80      13         73          1         96        259         10          6
   81      21         75          1         96        282         10          6
   82      18         81          2        101        253         10          8
   83      39         10          1        111        226         10         20
   84      12         69          1         96        337         10          6
   85      19         83          1        151        400         10          4
   86      21         82          1        151        342         10          4
   87       7         26          1        101        331         10          9
   88      18         88          1         64        327         10          3
   89      22         88          1         71        287         10          1
   90      40          4          2         45        105         10         21
   91      11         83          3        101        314         10          8
   92       7         42          1        123        361         10         10
   93       8         42         15         69        156         10         11
   94       6         44          2         69        302         10         11
   95       9         31          1        101        315         10          9
   96      -2         37          4         68        330         10         15
   97       0         46          1         35        292         10         14
   98      10         44          1         32        144         10         12
   99       8         41          1         69        295         10         11
  100      43         12          1         58        234         10         19
  101      17         82          1        151        386         10          4
  102      38         18          1        128        406         10         24
  103      43          8          1         58        228         10         19
  104      19         77          1         35        129         10          7
  105      25         83          1         71        331         10          1
  106      36         17          1         94        245         10         22
  107      18         85          1         71        161         10          1
  108      35          2          2         75        318         10         23
  109      44         10          1         79        218         10         18
  110      30         85          1         71        202         10          1
  111       4         47         13        147        224         10         17
  112      16         90          3         40        151         10          5
  113      42         11          1        128        412         10         24
  114       1         43          5        147        410         10         17
  115       2         34          1        152        318         10         13
  116      20         81          1        151        216         10          4
  117      41          7          1         45        235         10         21
  118      10         45          1         69        222         10         11
  119      43          9          1         58        129         10         19
  120      46          1          3         79        162         10         18
  121      42         17          1         94        344         10         22
  122      13         52          2         35        264         10         14
  123      47          4          4         79        168         10         18
  124      25         84          1         64        291         10          3
