RC106_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.  XCOORD.    YCOORD.     DEMAND  READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20        130        190         10   
    2      22         75         30         35         95         10   
    3      22         85         10         94        154         10   
    4      20         80         40        126        186         10   
    5      20         85         20         40        100         10   
    6      18         75         20         80        140         10   
    7      15         75         20         64        124         10   
    8      15         80         10         76        136         10   
    9      10         35         20         76        136         10   
   10      10         40         30        104        164         10   
   11       8         40         40         44        104         10   
   12       8         45         20         49        109         10   
   13       5         35         10        127        187         10   
   14       5         45         10         35         95         10   
   15       2         40         20         43        103         10   
   16       0         40         20         57        117         10   
   17       0         45         20        129        189         10   
   18      44          5         20         72        132         10   
   19      42         10         40         57        117         10   
   20      42         15         10        107        167         10   
   21      40          5         10         52        112         10   
   22      40         15         40         77        137         10   
   23      38          5         30         50        110         10   
   24      38         15         10        133        193         10   
   25      35          5         20        124        184         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      25         81         12        130        371         10          1
    1      19         70         21         35        179         10          2
    2      22         82          3         94        228         10          3
    3      22         80         28        126        434         10          4
    4      20         85         14         40        111         10          5
    5      19         78         10         80        291         10          6
    6      17         78          9         64        277         10          7
    7      13         74          2         76        242         10          8
    8       7         35          1         76        368         10          9
    9       7         37          2        104        228         10         10
   10       5         40         30         44        225         10         11
   11      13         42          7         49        229         10         12
   12       5         39          1        127        290         10         13
   13       5         45          2         35        215         10         14
   14       0         33         15         43        212         10         15
   15       1         40          2         57        299         10         16
   16       0         45         11        129        287         10         17
   17      40          3          8         72        168         10         18
   18      38          8          3         57        372         10         19
   19      46         10          3        107        413         10         20
   20      40          7          4         52        193         10         21
   21      35         16         15         77        244         10         22
   22      32          4         21         50        325         10         23
   23      35         17          3        133        317         10         24
   24      32          4          2        124        264         10         25
   25      23         77          1         35        244         10          2
   26      39          3          1         52        297         10         21
   27       4         42          1         49        244         10         12
   28      17         71          6         80        242         10          6
   29      -2         34          7         57        167         10         16
   30       1         37          2         43        264         10         15
   31       9         38          7         49        353         10         12
   32       8         34          3        127        336         10         13
   33      21         82          3         40        188         10          5
   34       6         34          2        127        249         10         13
   35      41         17         20         77        205         10         22
   36       5         45          5         35        230         10         14
   37      17         83          2         40        345         10          5
   38      46          3          6         72        365         10         18
   39      23         84          2        130        282         10          1
   40      22         88          4         94        403         10          3
   41       6         30         14         76        317         10          9
   42       5         39          1         57        178         10         16
   43      13         76          5         76        299         10          8
   44      26         78          3         35        205         10          2
   45       8         33          1         76        171         10          9
   46      14         76          6         64        162         10          7
   47      15         80          3        126        227         10          4
   48       6         38          2         76        316         10          9
   49      15         74          1         35        306         10          2
   50      37          4          8         50        320         10         23
   51      22         88          2        130        279         10          1
   52       5         33          1        127        278         10         13
   53       2         34          1        127        287         10         13
   54      44          7         19         57        148         10         19
   55       9         39         14        104        293         10         10
   56      14         77          1         35        220         10          2
   57      18         82          7        126        431         10          4
   58      11         41          1         76        320         10          9
   59      39         17          2        107        416         10         20
   60      -1         42          7         57        241         10         16
   61      43          5          2         72        237         10         18
   62       7         38          8        104        281         10         10
   63       6         37          8         44        130         10         11
   64       4         39          1        127        209         10         13
   65      19         83          1         40        168         10          5
   66      16         43          3        104        320         10         10
   67      25         85          1        130        367         10          1
   68      27         84          1        130        311         10          1
   69      40         13          1         77        199         10         22
   70      16         72          1         64        290         10          7
   71      39          3          2         52        285         10         21
   72      20         69          1         64        230         10          7
   73      22         88          1         94        234         10          3
   74      22         86          2         94        315         10          3
   75      36          7          2         52        233         10         21
   76      12         70          1         64        197         10          7
   77      11         71          1         80        266         10          6
   78      12         44          1        104        334         10         10
   79      42         11          1        107        237         10         20
   80      35         12          5        133        261         10         24
   81      -2         38          1         43        305         10         15
   82       9         78          1         76        290         10          8
   83      14         82          2         76        160         10          8
   84      25         75          2         35        144         10          2
   85      14         76          1         64        309         10          7
   86      15         78          1         64        147         10          7
   87       1         42          3         57        277         10         16
   88      35         16          1         77        389         10         22
   89      39          3          1         50        260         10         23
   90      22         84          1        130        298         10          1
   91      36         11          1        133        224         10         24
   92       6         47          2         49        258         10         12
   93      24         73          1         35        257         10          2
   94      20         77          2         80        392         10          6
   95      43         16          1        107        200         10         20
   96      18         80          1        126        232         10          4
   97      25         81          1        130        273         10          1
   98      41         16          1         77        246         10         22
   99      37         14          1        107        425         10         20
  100       8         31          1        127        229         10         13
  101       9         37          2        104        334         10         10
  102      45         14          1        107        239         10         20
  103      40         13          1        133        402         10         24
  104      10         47          1         35        132         10         14
  105      43          6          9         57        173         10         19
  106       0         42          2         35        298         10         14
  107      41          6          4         72        170         10         18
  108       9         44          1         49        289         10         12
  109       5         38          1         49        354         10         12
  110      37          8         12        124        245         10         25
  111      41         11          1         77        271         10         22
  112      23         81          1        126        300         10          4
  113       9         40          2         44        250         10         11
  114      -1         43          1         43        267         10         15
  115      38          9          9         57        198         10         19
  116       4         47          9        129        216         10         17
  117      39          5          1         52        314         10         21
  118      45         16          1        107        238         10         20
  119       5         39          1         43        172         10         15
  120      14         74          1         80        329         10          6
  121      35         12          1         77        294         10         22
  122       7         50          1         49        210         10         12
  123      12         30          1         76        315         10          9
  124      32          3          6        124        254         10         25
