RC108_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20         49        191         10   
    2      22         75         30         30        168         10   
    3      22         85         10         95        152         10   
    4      20         80         40         69        193         10   
    5      20         85         20         40        189         10   
    6      18         75         20         60        159         10   
    7      15         75         20         54        133         10   
    8      15         80         10         67        144         10   
    9      10         35         20         57        154         10   
   10      10         40         30        106        161         10   
   11       8         40         40         33        152         10   
   12       8         45         20         32        148         10   
   13       5         35         10         53        191         10   
   14       5         45         10         35        194         10   
   15       2         40         20         39        163         10   
   16       0         40         20         41        141         10   
   17       0         45         20         51        189         10   
   18      44          5         20         73        130         10   
   19      42         10         40         40        148         10   
   20      42         15         10         94        179         10   
   21      40          5         10         45        161         10   
   22      40         15         40         64        149         10   
   23      38          5         30         45        164         10   
   24      38         15         10         51        194         10   
   25      35          5         20         45        183         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      26         84         12         49        570         10          1
    1      18         77          7         30        551         10          2
    2      21         88          5         95        327         10          3
    3      16         80         10         69        431         10          4
    4      19         85         12         40        376         10          5
    5      22         76          5         60        490         10          6
    6      13         73          1         54        279         10          7
    7      17         79          1         67        515         10          8
    8      10         34          8         57        365         10          9
    9      11         37          6        106        576         10         10
   10      11         40         12         33        458         10         11
   11       6         40         12         32        605         10         12
   12       3         35          3         53        225         10         13
   13       5         45          4         35        312         10         14
   14       0         43         15         39        528         10         15
   15       0         38          8         41        182         10         16
   16       2         46          4         51        220         10         17
   17      47          4         15         73        200         10         18
   18      50         15         23         40        350         10         19
   19      43         15          3         94        549         10         20
   20      36          3          2         45        243         10         21
   21      43         13          3         64        627         10         22
   22      40          1         15         45        550         10         23
   23      38         12          1         51        261         10         24
   24      34         11         11         45        566         10         25
   25       8         44          1        106        564         10         10
   26      11         70         15         54        384         10          7
   27      14         34          5         57        346         10          9
   28      16         77          2         67        453         10          8
   29       0         41          1        106        335         10         10
   30      19         84          7         40        489         10          5
   31      -1         39          1         39        384         10         15
   32      41          4          1         45        342         10         21
   33       0         44          2         35        268         10         14
   34       3         32          3         53        370         10         13
   35      11         38          1         57        417         10          9
   36      42         15          9         40        603         10         19
   37      30         19          2         51        399         10         24
   38      16         88          3         67        637         10          8
   39       0         39          9         41        286         10         16
   40       7         45          3         32        564         10         12
   41      13         34         16        106        336         10         10
   42      43         13          2         94        244         10         20
   43      12         37          2         57        578         10          9
   44       8         39          4        106        533         10         10
   45      29          6          1         45        524         10         25
   46      13         79          1         67        219         10          8
   47       9         50          3         35        335         10         14
   48       0         45          4         51        252         10         17
   49      37          7          4         45        183         10         25
   50      39          9          5         45        422         10         23
   51       8         35          1         57        568         10          9
   52      19         68         10         30        191         10          2
   53      19         80          1         67        233         10          8
   54      22         94          5         49        451         10          1
   55      40          7          2         45        309         10         21
   56      41         21         13         64        330         10         22
   57      15         75          3         54        572         10          7
   58       6         41          1         39        467         10         15
   59      40         10          2         40        193         10         19
   60      44         19          1         94        333         10         20
   61      24         72          5         30        253         10          2
   62      -1         44          4         51        301         10         17
   63      37          6          1         45        567         10         21
   64      11         45          2         32        251         10         12
   65      36         12          1         94        310         10         20
   66       7         35          1        106        537         10         10
   67      42          3          2         40        532         10         19
   68       8         43          1         32        419         10         12
   69      20         86          1         40        519         10          5
   70       8         34          1         57        340         10          9
   71       6         39          1         39        587         10         15
   72      33          3          1         45        426         10         25
   73       7         37          2         57        532         10          9
   74      27         81          1         49        612         10          1
   75      31          5          1         45        248         10         25
   76      45          3          3         45        552         10         21
   77      17         74          1         67        387         10          8
   78      41          8          3         73        302         10         18
   79      32         21          4         51        467         10         24
   80      18         86          1         95        484         10          3
   81       4         33          1         53        434         10         13
   82      47          1          1         73        344         10         18
   83      14         75          1         67        375         10          8
   84      42         10          3         51        471         10         24
   85      14         80         11         69        464         10          4
   86       6         38         17         33        336         10         11
   87      26         82         10         69        498         10          4
   88      28         86          2         49        257         10          1
   89      37         14          1         94        233         10         20
   90      -4         37          1         39        562         10         15
   91       4         35          1         53        584         10         13
   92      43         10          1         40        178         10         19
   93      37          6          1         45        307         10         25
   94      20         73         15         60        564         10          6
   95      44         15          1         94        336         10         20
   96      17         75          1         69        270         10          4
   97       3         50          1         32        536         10         12
   98      36         11          2         40        464         10         19
   99      43         13         22         64        455         10         22
  100      12         41          1        106        509         10         10
  101      42          6          1         40        172         10         19
  102      11         74          1         54        574         10          7
  103      20         82          1         95        282         10          3
  104      17         80          8         69        284         10          4
  105      43          4          1         73        309         10         18
  106       2         36          2         41        536         10         16
  107      38         19          1         94        368         10         20
  108       4         46          1         35        501         10         14
  109      43          5          9         45        371         10         23
  110       2         37          1         41        212         10         16
  111       4         43          1         32        538         10         12
  112      36          6          1         45        200         10         25
  113      22         85          1         95        509         10          3
  114      18         72          5         30        354         10          2
  115      24         75          3         30        154         10          2
  116       2         33          1         53        586         10         13
  117      37          5          1         45        476         10         23
  118       2         47          8         51        254         10         17
  119       4         36         11         33        222         10         11
  120      24         87          2         95        409         10          3
  121       8         31          1         53        329         10         13
  122       0         38          1         39        410         10         15
  123      41          6          1         45        510         10         21
  124      37         11          2         64        294         10         22
